"Relationship","Year","Incidents"
"Alabama",1996,0
"Alaska",1996,0
"American Samoa",1996,0
"Arizona",1996,0
"Arkansas",1996,0
"California",1996,17
"Colorado",1996,0
"Connecticut",1996,1
"Delaware",1996,0
"District of Columbia",1996,0
"Federated States of Micronesia",1996,0
"Florida",1996,0
"Georgia",1996,0
"Guam",1996,0
"Hawaii",1996,0
"Idaho",1996,0
"Illinois",1996,7
"Indiana",1996,0
"Iowa",1996,2
"Kansas",1996,6
"Kentucky",1996,0
"Louisiana",1996,8
"Maine",1996,0
"Marshall Islands",1996,0
"Maryland",1996,0
"Massachusetts",1996,0
"Michigan",1996,0
"Minnesota",1996,10
"Mississippi",1996,1
"Missouri",1996,0
"Montana",1996,0
"Nebraska",1996,0
"Nevada",1996,0
"New Hampshire",1996,0
"New Jersey",1996,0
"New Mexico",1996,6
"New York",1996,0
"North Carolina",1996,0
"North Dakota",1996,0
"Northern Mariana Islands",1996,0
"Ohio",1996,0
"Oklahoma",1996,0
"Oregon",1996,12
"Palau",1996,0
"Pennsylvania",1996,0
"Puerto Rico",1996,0
"Rhode Island",1996,0
"South Carolina",1996,0
"South Dakota",1996,0
"Tennessee",1996,0
"Texas",1996,0
"U.S. Virgin Islands",1996,0
"Unknown/Blank",1996,0
"Utah",1996,0
"Vermont",1996,0
"Virginia",1996,0
"Washington",1996,4
"West Virginia",1996,0
"Wisconsin",1996,11
"Wyoming",1996,0
"Alabama",1997,0
"Alaska",1997,0
"American Samoa",1997,0
"Arizona",1997,0
"Arkansas",1997,0
"California",1997,4
"Colorado",1997,0
"Connecticut",1997,0
"Delaware",1997,0
"District of Columbia",1997,0
"Federated States of Micronesia",1997,0
"Florida",1997,17
"Georgia",1997,0
"Guam",1997,0
"Hawaii",1997,0
"Idaho",1997,0
"Illinois",1997,1
"Indiana",1997,2
"Iowa",1997,0
"Kansas",1997,0
"Kentucky",1997,0
"Louisiana",1997,0
"Maine",1997,0
"Marshall Islands",1997,0
"Maryland",1997,0
"Massachusetts",1997,0
"Michigan",1997,0
"Minnesota",1997,0
"Mississippi",1997,0
"Missouri",1997,0
"Montana",1997,0
"Nebraska",1997,0
"Nevada",1997,20
"New Hampshire",1997,0
"New Jersey",1997,0
"New Mexico",1997,0
"New York",1997,0
"North Carolina",1997,0
"North Dakota",1997,0
"Northern Mariana Islands",1997,0
"Ohio",1997,0
"Oklahoma",1997,0
"Oregon",1997,0
"Palau",1997,0
"Pennsylvania",1997,0
"Puerto Rico",1997,0
"Rhode Island",1997,0
"South Carolina",1997,0
"South Dakota",1997,0
"Tennessee",1997,0
"Texas",1997,0
"U.S. Virgin Islands",1997,0
"Unknown/Blank",1997,1
"Utah",1997,0
"Vermont",1997,0
"Virginia",1997,0
"Washington",1997,0
"West Virginia",1997,0
"Wisconsin",1997,0
"Wyoming",1997,0
"Alabama",1998,0
"Alaska",1998,0
"American Samoa",1998,0
"Arizona",1998,2
"Arkansas",1998,0
"California",1998,9
"Colorado",1998,0
"Connecticut",1998,24
"Delaware",1998,0
"District of Columbia",1998,0
"Federated States of Micronesia",1998,0
"Florida",1998,54
"Georgia",1998,0
"Guam",1998,0
"Hawaii",1998,0
"Idaho",1998,5
"Illinois",1998,17
"Indiana",1998,14
"Iowa",1998,24
"Kansas",1998,11
"Kentucky",1998,0
"Louisiana",1998,28
"Maine",1998,0
"Marshall Islands",1998,0
"Maryland",1998,0
"Massachusetts",1998,0
"Michigan",1998,1
"Minnesota",1998,22
"Mississippi",1998,24
"Missouri",1998,7
"Montana",1998,0
"Nebraska",1998,0
"Nevada",1998,162
"New Hampshire",1998,0
"New Jersey",1998,65
"New Mexico",1998,1
"New York",1998,0
"North Carolina",1998,0
"North Dakota",1998,2
"Northern Mariana Islands",1998,0
"Ohio",1998,0
"Oklahoma",1998,0
"Oregon",1998,40
"Palau",1998,0
"Pennsylvania",1998,0
"Puerto Rico",1998,0
"Rhode Island",1998,0
"South Carolina",1998,0
"South Dakota",1998,0
"Tennessee",1998,0
"Texas",1998,0
"U.S. Virgin Islands",1998,0
"Unknown/Blank",1998,4
"Utah",1998,0
"Vermont",1998,0
"Virginia",1998,0
"Washington",1998,16
"West Virginia",1998,0
"Wisconsin",1998,25
"Wyoming",1998,0
"Alabama",1999,0
"Alaska",1999,0
"American Samoa",1999,0
"Arizona",1999,14
"Arkansas",1999,0
"California",1999,18
"Colorado",1999,1
"Connecticut",1999,9
"Delaware",1999,0
"District of Columbia",1999,0
"Federated States of Micronesia",1999,0
"Florida",1999,13
"Georgia",1999,0
"Guam",1999,0
"Hawaii",1999,0
"Idaho",1999,1
"Illinois",1999,17
"Indiana",1999,41
"Iowa",1999,7
"Kansas",1999,6
"Kentucky",1999,0
"Louisiana",1999,13
"Maine",1999,0
"Marshall Islands",1999,0
"Maryland",1999,0
"Massachusetts",1999,0
"Michigan",1999,9
"Minnesota",1999,10
"Mississippi",1999,22
"Missouri",1999,5
"Montana",1999,0
"Nebraska",1999,0
"Nevada",1999,107
"New Hampshire",1999,0
"New Jersey",1999,65
"New Mexico",1999,1
