"Type.of.Gaming.Establishment","Year","Incidents"
"State Licensed Casino",1996,0
"Tribal Licensed Casino",1996,0
"Card Club",1996,0
"Other",1996,0
"Unspecified/Blank",1996,85
"State Licensed Casino",1997,22
"Tribal Licensed Casino",1997,21
"Card Club",1997,0
"Other",1997,0
"Unspecified/Blank",1997,2
"State Licensed Casino",1998,288
"Tribal Licensed Casino",1998,117
"Card Club",1998,3
"Other",1998,0
"Unspecified/Blank",1998,152
"State Licensed Casino",1999,262
"Tribal Licensed Casino",1999,112
"Card Club",1999,3
"Other",1999,3
"Unspecified/Blank",1999,70
"State Licensed Casino",2000,309
"Tribal Licensed Casino",2000,115
"Card Club",2000,1
"Other",2000,0
"Unspecified/Blank",2000,45
"State Licensed Casino",2001,1215
"Tribal Licensed Casino",2001,114
"Card Club",2001,1
"Other",2001,0
"Unspecified/Blank",2001,48
"State Licensed Casino",2002,1621
"Tribal Licensed Casino",2002,120
"Card Club",2002,9
"Other",2002,0
"Unspecified/Blank",2002,84
"State Licensed Casino",2003,4393
"Tribal Licensed Casino",2003,539
"Card Club",2003,19
"Other",2003,1
"Unspecified/Blank",2003,165
"State Licensed Casino",2004,4696
"Tribal Licensed Casino",2004,935
"Card Club",2004,27
"Other",2004,1
"Unspecified/Blank",2004,121
"State Licensed Casino",2005,4680
"Tribal Licensed Casino",2005,1254
"Card Club",2005,46
"Other",2005,5
"Unspecified/Blank",2005,101
"State Licensed Casino",2006,4969
"Tribal Licensed Casino",2006,2140
"Card Club",2006,39
"Other",2006,6
"Unspecified/Blank",2006,182
"State Licensed Casino",2007,6726
"Tribal Licensed Casino",2007,2992
"Card Club",2007,41
"Other",2007,15
"Unspecified/Blank",2007,188
"State Licensed Casino",2008,7616
"Tribal Licensed Casino",2008,3108
"Card Club",2008,216
"Other",2008,3
"Unspecified/Blank",2008,238
"State Licensed Casino",2009,8312
"Tribal Licensed Casino",2009,3253
"Card Club",2009,252
"Other",2009,62
"Unspecified/Blank",2009,239
"State Licensed Casino",2010,4573
"Tribal Licensed Casino",2010,1757
"Card Club",2010,292
"Other",2010,7
"Unspecified/Blank",2010,41
"State Licensed Casino",2011,0
"Tribal Licensed Casino",2011,0
"Card Club",2011,0
"Other",2011,0
"Unspecified/Blank",2011,0
