"Year.Mo","Year","Incidents"
"January","1996",0
"February","1996",0
"March","1996",0
"April","1996",0
"May","1996",0
"June","1996",0
"July","1996",0
"August","1996",85
"September","1996",0
"October","1996",0
"November","1996",0
"December","1996",0
"January","1997",0
"February","1997",0
"March","1997",0
"April","1997",0
"May","1997",0
"June","1997",0
"July","1997",0
"August","1997",0
"September","1997",0
"October","1997",7
"November","1997",10
"December","1997",28
"January","1998",17
"February","1998",25
"March","1998",38
"April","1998",48
"May","1998",31
"June","1998",43
"July","1998",44
"August","1998",60
"September","1998",70
"October","1998",65
"November","1998",65
"December","1998",51
"January","1999",46
"February","1999",31
"March","1999",32
"April","1999",35
"May","1999",30
"June","1999",27
"July","1999",31
"August","1999",43
"September","1999",49
"October","1999",46
"November","1999",30
"December","1999",36
"January","2000",38
"February","2000",25
"March","2000",65
"April","2000",33
"May","2000",24
"June","2000",33
"July","2000",41
"August","2000",31
"September","2000",34
"October","2000",34
"November","2000",52
"December","2000",54
"January","2001",62
"February","2001",67
"March","2001",72
"April","2001",82
"May","2001",168
"June","2001",131
"July","2001",159
"August","2001",145
"September","2001",123
"October","2001",135
"November","2001",125
"December","2001",108
"January","2002",126
"February","2002",200
"March","2002",184
"April","2002",106
"May","2002",146
"June","2002",150
"July","2002",165
"August","2002",123
"September","2002",149
"October","2002",146
"November","2002",143
"December","2002",189
"January","2003",130
"February","2003",137
"March","2003",152
"April","2003",333
"May","2003",599
"June","2003",631
"July","2003",572
"August","2003",712
"September","2003",471
"October","2003",530
"November","2003",446
"December","2003",382
"January","2004",498
"February","2004",500
"March","2004",430
"April","2004",508
"May","2004",436
"June","2004",391
"July","2004",548
"August","2004",394
"September","2004",469
"October","2004",573
"November","2004",446
"December","2004",561
"January","2005",469
"February","2005",454
"March","2005",527
"April","2005",554
"May","2005",512
"June","2005",486
"July","2005",533
"August","2005",432
"September","2005",513
"October","2005",433
"November","2005",447
"December","2005",712
"January","2006",420
"February","2006",516
"March","2006",632
"April","2006",469
"May","2006",655
"June","2006",733
"July","2006",591
"August","2006",543
"September","2006",682
"October","2006",653
"November","2006",580
"December","2006",811
"January","2007",752
"February","2007",659
"March","2007",910
"April","2007",868
"May","2007",740
"June","2007",821
"July","2007",767
"August","2007",978
"September","2007",823
"October","2007",790
"November","2007",1161
"December","2007",674
"January","2008",967
"February","2008",966
"March","2008",802
"April","2008",765
"May","2008",1065
"June","2008",812
"July","2008",842
"August","2008",1167
"September","2008",865
"October","2008",1140
"November","2008",808
"December","2008",963
"January","2009",1016
"February","2009",814
"March","2009",980
"April","2009",801
"May","2009",1132
"June","2009",917
"July","2009",1039
"August","2009",1135
"September","2009",961
"October","2009",1099
"November","2009",1124
"December","2009",1075
"January","2010",1118
"February","2010",1157
"March","2010",1015
"April","2010",1098
"May","2010",1149
"June","2010",1127
"July","2010",0
"August","2010",0
"September","2010",0
"October","2010",0
"November","2010",0
"December","2010",0
"January","2011",0
"February","2011",0
"March","2011",0
"April","2011",0
"May","2011",0
"June","2011",0
"July","2011",0
"August","2011",0
"September","2011",0
"October","2011",0
"November","2011",0
"December","2011",0
"January","2012",0
"February","2012",0
"March","2012",0
"April","2012",54
"May","2012",54
"June","2012",90
"July","2012",194
"August","2012",263
"September","2012",279
"October","2012",376
"November","2012",386
"December","2012",423
"January","2013",503
"February","2013",569
"March","2013",1287
"April","2013",2400
"May","2013",2515
"June","2013",2413
"July","2013",2883
"August","2013",2803
"September","2013",3034
"October","2013",3117
"November","2013",2982
"December","2013",2999
"January","2014",3480
"February","2014",3025
"March","2014",3326
"April","2014",3321
"May","2014",3617
"June","2014",3488
"July","2014",4560
"August","2014",4770
"September","2014",4114
"October","2014",4431
"November","2014",4021
"December","2014",4422
