"Nature","Year","Incidents"
"Bribery/Gratuity","1996",115
"Bribery/Gratuity","1997",109
"Bribery/Gratuity","1998",92
"Bribery/Gratuity","1999",101
"Bribery/Gratuity","2000",150
"Bribery/Gratuity","2001",201
"Bribery/Gratuity","2002",411
"Bribery/Gratuity","2003",501
"Bribery/Gratuity","2004",468
"Bribery/Gratuity","2005",508
"Bribery/Gratuity","2006",276
"Bribery/Gratuity","2007",282
"Bribery/Gratuity","2008",298
"Bribery/Gratuity","2009",246
"Bribery/Gratuity","2010",236
"Bribery/Gratuity","2011",299
"BSA/Structuring/Money Laundering","1996",26316
"BSA/Structuring/Money Laundering","1997",35625
"BSA/Structuring/Money Laundering","1998",47223
"BSA/Structuring/Money Laundering","1999",60983
"BSA/Structuring/Money Laundering","2000",90606
"BSA/Structuring/Money Laundering","2001",108925
"BSA/Structuring/Money Laundering","2002",154000
"BSA/Structuring/Money Laundering","2003",155468
"BSA/Structuring/Money Laundering","2004",214797
"BSA/Structuring/Money Laundering","2005",303318
"BSA/Structuring/Money Laundering","2006",302818
"BSA/Structuring/Money Laundering","2007",347398
"BSA/Structuring/Money Laundering","2008",382338
"BSA/Structuring/Money Laundering","2009",376718
"BSA/Structuring/Money Laundering","2010",411697
"BSA/Structuring/Money Laundering","2011",472780
"Check Fraud","1996",10506
"Check Fraud","1997",13245
"Check Fraud","1998",13767
"Check Fraud","1999",16232
"Check Fraud","2000",19637
"Check Fraud","2001",26012
"Check Fraud","2002",32954
"Check Fraud","2003",35740
"Check Fraud","2004",41499
"Check Fraud","2005",57555
"Check Fraud","2006",66530
"Check Fraud","2007",71844
"Check Fraud","2008",83988
"Check Fraud","2009",84952
"Check Fraud","2010",72811
"Check Fraud","2011",70618
"Check Kiting","1996",3240
"Check Kiting","1997",4294
"Check Kiting","1998",4032
"Check Kiting","1999",4058
"Check Kiting","2000",6163
"Check Kiting","2001",7350
"Check Kiting","2002",9561
"Check Kiting","2003",11275
"Check Kiting","2004",13137
"Check Kiting","2005",17116
"Check Kiting","2006",20831
"Check Kiting","2007",31607
"Check Kiting","2008",39407
"Check Kiting","2009",30350
"Check Kiting","2010",17829
"Check Kiting","2011",14495
"Commercial Loan Fraud","1996",583
"Commercial Loan Fraud","1997",960
"Commercial Loan Fraud","1998",905
"Commercial Loan Fraud","1999",1080
"Commercial Loan Fraud","2000",1320
"Commercial Loan Fraud","2001",1348
"Commercial Loan Fraud","2002",1879
"Commercial Loan Fraud","2003",1785
"Commercial Loan Fraud","2004",1807
"Commercial Loan Fraud","2005",2232
"Commercial Loan Fraud","2006",2623
"Commercial Loan Fraud","2007",3645
"Commercial Loan Fraud","2008",4147
"Commercial Loan Fraud","2009",4236
"Commercial Loan Fraud","2010",3347
"Commercial Loan Fraud","2011",2947
"Computer Intrusion","1996",0
"Computer Intrusion","1997",0
"Computer Intrusion","1998",0
"Computer Intrusion","1999",0
"Computer Intrusion","2000",65
"Computer Intrusion","2001",419
"Computer Intrusion","2002",2484
"Computer Intrusion","2003",4713
"Computer Intrusion","2004",1954
"Computer Intrusion","2005",1220
"Computer Intrusion","2006",1448
"Computer Intrusion","2007",1934
"Computer Intrusion","2008",1477
"Computer Intrusion","2009",2243
"Computer Intrusion","2010",1666
"Computer Intrusion","2011",1308
"Consumer Loan Fraud","1996",1202
"Consumer Loan Fraud","1997",2048
"Consumer Loan Fraud","1998",2183
"Consumer Loan Fraud","1999",2548
"Consumer Loan Fraud","2000",3432
"Consumer Loan Fraud","2001",4143
"Consumer Loan Fraud","2002",4435
"Consumer Loan Fraud","2003",4536
"Consumer Loan Fraud","2004",5508
"Consumer Loan Fraud","2005",8551
"Consumer Loan Fraud","2006",14978
"Consumer Loan Fraud","2007",17772
"Consumer Loan Fraud","2008",23805
"Consumer Loan Fraud","2009",16506
"Consumer Loan Fraud","2010",14194
"Consumer Loan Fraud","2011",32285
"Counterfeit Check","1996",2407
"Counterfeit Check","1997",4226
"Counterfeit Check","1998",5897
"Counterfeit Check","1999",7392
"Counterfeit Check","2000",9033
"Counterfeit Check","2001",10139
"Counterfeit Check","2002",12575
"Counterfeit Check","2003",14596
"Counterfeit Check","2004",19811
"Counterfeit Check","2005",31431
"Counterfeit Check","2006",37544
"Counterfeit Check","2007",33175
"Counterfeit Check","2008",29479
"Counterfeit Check","2009",32922
"Counterfeit Check","2010",25117
"Counterfeit Check","2011",21929
"Counterfeit Credit/Debit Card","1996",391
"Counterfeit Credit/Debit Card","1997",387
"Counterfeit Credit/Debit Card","1998",182
"Counterfeit Credit/Debit Card","1999",351
"Counterfeit Credit/Debit Card","2000",664
"Counterfeit Credit/Debit Card","2001",1100
"Counterfeit Credit/Debit Card","2002",1246
"Counterfeit Credit/Debit Card","2003",1392
"Counterfeit Credit/Debit Card","2004",1759
"Counterfeit Credit/Debit Card","2005",2243
"Counterfeit Credit/Debit Card","2006",2456
"Counterfeit Credit/Debit Card","2007",2728
"Counterfeit Credit/Debit Card","2008",2419
"Counterfeit Credit/Debit Card","2009",2368
"Counterfeit Credit/Debit Card","2010",3135
"Counterfeit Credit/Debit Card","2011",4359
"Counterfeit Instrument (Other)","1996",219
"Counterfeit Instrument (Other)","1997",294
"Counterfeit Instrument (Other)","1998",263
"Counterfeit Instrument (Other)","1999",320
"Counterfeit Instrument (Other)","2000",474
"Counterfeit Instrument (Other)","2001",769
"Counterfeit Instrument (Other)","2002",791
"Counterfeit Instrument (Other)","2003",1268
"Counterfeit Instrument (Other)","2004",1876
"Counterfeit Instrument (Other)","2005",3401
"Counterfeit Instrument (Other)","2006",3859
"Counterfeit Instrument (Other)","2007",3321
"Counterfeit Instrument (Other)","2008",2024
"Counterfeit Instrument (Other)","2009",2190
"Counterfeit Instrument (Other)","2010",1894
"Counterfeit Instrument (Other)","2011",1753
"Credit Card Fraud","1996",4668
"Credit Card Fraud","1997",5075
"Credit Card Fraud","1998",4377
"Credit Card Fraud","1999",4936
"Credit Card Fraud","2000",6275
"Credit Card Fraud","2001",8393
"Credit Card Fraud","2002",12780
"Credit Card Fraud","2003",21086
"Credit Card Fraud","2004",25149
"Credit Card Fraud","2005",27861
"Credit Card Fraud","2006",31222
"Credit Card Fraud","2007",32575
"Credit Card Fraud","2008",39711
"Credit Card Fraud","2009",41548
"Credit Card Fraud","2010",35124
"Credit Card Fraud","2011",33443
"Debit Card Fraud","1996",261
"Debit Card Fraud","1997",612
"Debit Card Fraud","1998",565
"Debit Card Fraud","1999",721
"Debit Card Fraud","2000",1210
"Debit Card Fraud","2001",1437
"Debit Card Fraud","2002",3741
"Debit Card Fraud","2003",1578
"Debit Card Fraud","2004",2679
"Debit Card Fraud","2005",3356
"Debit Card Fraud","2006",3830
"Debit Card Fraud","2007",4744
"Debit Card Fraud","2008",5242
"Debit Card Fraud","2009",5397
"Debit Card Fraud","2010",5731
"Debit Card Fraud","2011",6258
"Defalcation/Embezzlement","1996",3664
"Defalcation/Embezzlement","1997",5284
"Defalcation/Embezzlement","1998",5252
"Defalcation/Embezzlement","1999",5178
"Defalcation/Embezzlement","2000",6117
"Defalcation/Embezzlement","2001",6182
"Defalcation/Embezzlement","2002",6151
"Defalcation/Embezzlement","2003",5844
"Defalcation/Embezzlement","2004",6126
"Defalcation/Embezzlement","2005",6551
"Defalcation/Embezzlement","2006",7016
"Defalcation/Embezzlement","2007",7230
"Defalcation/Embezzlement","2008",7275
"Defalcation/Embezzlement","2009",6752
"Defalcation/Embezzlement","2010",5470
"Defalcation/Embezzlement","2011",5513
"False Statement","1996",2138
"False Statement","1997",2200
"False Statement","1998",1970
"False Statement","1999",2376
"False Statement","2000",3051
"False Statement","2001",3232
"False Statement","2002",3685
"False Statement","2003",4978
"False Statement","2004",7741
"False Statement","2005",13676
"False Statement","2006",22818
"False Statement","2007",32459
"False Statement","2008",38074
"False Statement","2009",36122
"False Statement","2010",27198
"False Statement","2011",25669
"Identity Theft","1996",0
"Identity Theft","1997",0
"Identity Theft","1998",0
"Identity Theft","1999",0
"Identity Theft","2000",0
"Identity Theft","2001",0
"Identity Theft","2002",0
"Identity Theft","2003",3165
"Identity Theft","2004",15491
"Identity Theft","2005",21950
"Identity Theft","2006",28656
"Identity Theft","2007",30958
"Identity Theft","2008",39476
"Identity Theft","2009",36093
"Identity Theft","2010",31909
"Identity Theft","2011",31153
"Misuse of Position or Self Dealing","1996",1026
"Misuse of Position or Self Dealing","1997",1532
"Misuse of Position or Self Dealing","1998",1640
"Misuse of Position or Self Dealing","1999",2064
"Misuse of Position or Self Dealing","2000",2186
"Misuse of Position or Self Dealing","2001",2325
"Misuse of Position or Self Dealing","2002",2763
"Misuse of Position or Self Dealing","2003",3225
"Misuse of Position or Self Dealing","2004",3776
"Misuse of Position or Self Dealing","2005",4975
"Misuse of Position or Self Dealing","2006",5374
"Misuse of Position or Self Dealing","2007",5536
"Misuse of Position or Self Dealing","2008",6359
"Misuse of Position or Self Dealing","2009",5892
"Misuse of Position or Self Dealing","2010",4858
"Misuse of Position or Self Dealing","2011",4445
"Mortgage Loan Fraud","1996",1318
"Mortgage Loan Fraud","1997",1720
"Mortgage Loan Fraud","1998",2269
"Mortgage Loan Fraud","1999",2934
"Mortgage Loan Fraud","2000",3515
"Mortgage Loan Fraud","2001",4696
"Mortgage Loan Fraud","2002",5387
"Mortgage Loan Fraud","2003",9539
"Mortgage Loan Fraud","2004",18391
"Mortgage Loan Fraud","2005",25931
"Mortgage Loan Fraud","2006",37313
"Mortgage Loan Fraud","2007",52868
"Mortgage Loan Fraud","2008",64816
"Mortgage Loan Fraud","2009",67360
"Mortgage Loan Fraud","2010",70472
"Mortgage Loan Fraud","2011",92028
"Mysterious Disappearance","1996",1370
"Mysterious Disappearance","1997",1765
"Mysterious Disappearance","1998",1855
"Mysterious Disappearance","1999",1854
"Mysterious Disappearance","2000",2225
"Mysterious Disappearance","2001",2179
"Mysterious Disappearance","2002",2330
"Mysterious Disappearance","2003",2577
"Mysterious Disappearance","2004",2864
"Mysterious Disappearance","2005",3523
"Mysterious Disappearance","2006",3915
"Mysterious Disappearance","2007",4008
"Mysterious Disappearance","2008",4239
"Mysterious Disappearance","2009",4150
"Mysterious Disappearance","2010",3481
"Mysterious Disappearance","2011",4700
"Other","1996",6329
"Other","1997",6675
"Other","1998",8583
"Other","1999",8739
"Other","2000",11148
