"Regulator","Year","Incidents"
"Federal Reserve Board","1996",13612
"Federal Deposit Insurance Corporation","1996",10970
"Comptroller of the Currency","1996",26298
"Office of Thrift Supervision","1996",7404
"National Credit Union Administration","1996",2702
"Unspecified","1996",1402
"MSB (Bank Form Filings)","1996",0
"OFAC Filings","1996",0
"Federal Reserve Board","1997",9581
"Federal Deposit Insurance Corporation","1997",14909
"Comptroller of the Currency","1997",41425
"Office of Thrift Supervision","1997",9122
"National Credit Union Administration","1997",2631
"Unspecified","1997",3529
"MSB (Bank Form Filings)","1997",0
"OFAC Filings","1997",0
"Federal Reserve Board","1998",10800
"Federal Deposit Insurance Corporation","1998",14735
"Comptroller of the Currency","1998",51556
"Office of Thrift Supervision","1998",11375
"National Credit Union Administration","1998",2846
"Unspecified","1998",5209
"MSB (Bank Form Filings)","1998",0
"OFAC Filings","1998",0
"Federal Reserve Board","1999",14656
"Federal Deposit Insurance Corporation","1999",15883
"Comptroller of the Currency","1999",64946
"Office of Thrift Supervision","1999",12316
"National Credit Union Administration","1999",3041
"Unspecified","1999",9663
"MSB (Bank Form Filings)","1999",0
"OFAC Filings","1999",0
"Federal Reserve Board","2000",18269
"Federal Deposit Insurance Corporation","2000",20089
"Comptroller of the Currency","2000",93447
"Office of Thrift Supervision","2000",15980
"National Credit Union Administration","2000",3674
"Unspecified","2000",11257
"MSB (Bank Form Filings)","2000",0
"OFAC Filings","2000",0
"Federal Reserve Board","2001",23198
"Federal Deposit Insurance Corporation","2001",28750
"Comptroller of the Currency","2001",113263
"Office of Thrift Supervision","2001",19560
"National Credit Union Administration","2001",5275
"Unspecified","2001",13492
"MSB (Bank Form Filings)","2001",0
"OFAC Filings","2001",0
"Federal Reserve Board","2002",30292
"Federal Deposit Insurance Corporation","2002",42222
"Comptroller of the Currency","2002",133002
"Office of Thrift Supervision","2002",24498
"National Credit Union Administration","2002",7339
"Unspecified","2002",11742
"MSB (Bank Form Filings)","2002",24728
"OFAC Filings","2002",0
"Federal Reserve Board","2003",38878
"Federal Deposit Insurance Corporation","2003",62842
"Comptroller of the Currency","2003",137953
"Office of Thrift Supervision","2003",26668
"National Credit Union Administration","2003",9520
"Unspecified","2003",6074
"MSB (Bank Form Filings)","2003",6408
"OFAC Filings","2003",0
"Federal Reserve Board","2004",57629
"Federal Deposit Insurance Corporation","2004",83689
"Comptroller of the Currency","2004",184727
"Office of Thrift Supervision","2004",36569
"National Credit Union Administration","2004",12254
"Unspecified","2004",6469
"MSB (Bank Form Filings)","2004",334
"OFAC Filings","2004",0
"Federal Reserve Board","2005",90267
"Federal Deposit Insurance Corporation","2005",102508
"Comptroller of the Currency","2005",245720
"Office of Thrift Supervision","2005",50971
"National Credit Union Administration","2005",25875
"Unspecified","2005",6889
"MSB (Bank Form Filings)","2005",164
"OFAC Filings","2005",261
"Federal Reserve Board","2006",100087
"Federal Deposit Insurance Corporation","2006",120638
"Comptroller of the Currency","2006",233928
"Office of Thrift Supervision","2006",62462
"National Credit Union Administration","2006",43097
"Unspecified","2006",6868
"MSB (Bank Form Filings)","2006",104
"OFAC Filings","2006",392
"Federal Reserve Board","2007",109000
"Federal Deposit Insurance Corporation","2007",138820
"Comptroller of the Currency","2007",256733
"Office of Thrift Supervision","2007",83242
"National Credit Union Administration","2007",52432
"Unspecified","2007",8490
"MSB (Bank Form Filings)","2007",21
"OFAC Filings","2007",470
"Federal Reserve Board","2008",85950
"Federal Deposit Insurance Corporation","2008",132879
"Comptroller of the Currency","2008",342706
"Office of Thrift Supervision","2008",97922
"National Credit Union Administration","2008",57179
"Unspecified","2008",12942
"MSB (Bank Form Filings)","2008",28
"OFAC Filings","2008",318
"Federal Reserve Board","2009",92637
"Federal Deposit Insurance Corporation","2009",129664
"Comptroller of the Currency","2009",389180
"Office of Thrift Supervision","2009",39706
"National Credit Union Administration","2009",62630
"Unspecified","2009",5743
"MSB (Bank Form Filings)","2009",28
"OFAC Filings","2009",443
"Federal Reserve Board","2010",88424
"Federal Deposit Insurance Corporation","2010",126437
"Comptroller of the Currency","2010",375660
"Office of Thrift Supervision","2010",35961
"National Credit Union Administration","2010",65242
"Unspecified","2010",5320
"MSB (Bank Form Filings)","2010",13
"OFAC Filings","2010",327
"Federal Reserve Board","2011",93010
"Federal Deposit Insurance Corporation","2011",131437
"Comptroller of the Currency","2011",469149
"Office of Thrift Supervision","2011",27176
"National Credit Union Administration","2011",69022
"Unspecified","2011",4829
"MSB (Bank Form Filings)","2011",5
"OFAC Filings","2011",82
