"State","Year","Nature","Incidents"
"Alabama",1996,"BSA.Structuring.Money.Laundering",89
"Alabama",1997,"BSA.Structuring.Money.Laundering",89
"Alabama",1998,"BSA.Structuring.Money.Laundering",93
"Alabama",1999,"BSA.Structuring.Money.Laundering",91
"Alabama",2000,"BSA.Structuring.Money.Laundering",179
"Alabama",2001,"BSA.Structuring.Money.Laundering",315
"Alabama",2002,"BSA.Structuring.Money.Laundering",335
"Alabama",2003,"BSA.Structuring.Money.Laundering",635
"Alabama",2004,"BSA.Structuring.Money.Laundering",1006
"Alabama",2005,"BSA.Structuring.Money.Laundering",1827
"Alabama",2006,"BSA.Structuring.Money.Laundering",2558
"Alabama",2007,"BSA.Structuring.Money.Laundering",2609
"Alabama",2008,"BSA.Structuring.Money.Laundering",3172
"Alabama",2009,"BSA.Structuring.Money.Laundering",3667
"Alabama",2010,"BSA.Structuring.Money.Laundering",3525
"Alabama",2011,"BSA.Structuring.Money.Laundering",0
"Alabama",2012,"BSA.Structuring.Money.Laundering",0
"Alabama",2013,"BSA.Structuring.Money.Laundering",0
"Alabama",2014,"BSA.Structuring.Money.Laundering",0
"Alabama",2015,"BSA.Structuring.Money.Laundering",0
"Alabama",2016,"BSA.Structuring.Money.Laundering",0
"Alaska",1996,"BSA.Structuring.Money.Laundering",46
"Alaska",1997,"BSA.Structuring.Money.Laundering",36
"Alaska",1998,"BSA.Structuring.Money.Laundering",95
"Alaska",1999,"BSA.Structuring.Money.Laundering",119
"Alaska",2000,"BSA.Structuring.Money.Laundering",285
"Alaska",2001,"BSA.Structuring.Money.Laundering",233
"Alaska",2002,"BSA.Structuring.Money.Laundering",334
"Alaska",2003,"BSA.Structuring.Money.Laundering",390
"Alaska",2004,"BSA.Structuring.Money.Laundering",805
"Alaska",2005,"BSA.Structuring.Money.Laundering",1672
"Alaska",2006,"BSA.Structuring.Money.Laundering",1694
"Alaska",2007,"BSA.Structuring.Money.Laundering",1129
"Alaska",2008,"BSA.Structuring.Money.Laundering",1153
"Alaska",2009,"BSA.Structuring.Money.Laundering",1165
"Alaska",2010,"BSA.Structuring.Money.Laundering",1220
"Alaska",2011,"BSA.Structuring.Money.Laundering",0
"Alaska",2012,"BSA.Structuring.Money.Laundering",0
"Alaska",2013,"BSA.Structuring.Money.Laundering",0
"Alaska",2014,"BSA.Structuring.Money.Laundering",0
"Alaska",2015,"BSA.Structuring.Money.Laundering",0
"Alaska",2016,"BSA.Structuring.Money.Laundering",0
"American Samoa",1996,"BSA.Structuring.Money.Laundering",0
"American Samoa",1997,"BSA.Structuring.Money.Laundering",0
"American Samoa",1998,"BSA.Structuring.Money.Laundering",0
"American Samoa",1999,"BSA.Structuring.Money.Laundering",0
"American Samoa",2000,"BSA.Structuring.Money.Laundering",2
"American Samoa",2001,"BSA.Structuring.Money.Laundering",0
"American Samoa",2002,"BSA.Structuring.Money.Laundering",2
"American Samoa",2003,"BSA.Structuring.Money.Laundering",1
"American Samoa",2004,"BSA.Structuring.Money.Laundering",18
"American Samoa",2005,"BSA.Structuring.Money.Laundering",17
"American Samoa",2006,"BSA.Structuring.Money.Laundering",22
"American Samoa",2007,"BSA.Structuring.Money.Laundering",73
"American Samoa",2008,"BSA.Structuring.Money.Laundering",143
"American Samoa",2009,"BSA.Structuring.Money.Laundering",113
"American Samoa",2010,"BSA.Structuring.Money.Laundering",72
"American Samoa",2011,"BSA.Structuring.Money.Laundering",0
"American Samoa",2012,"BSA.Structuring.Money.Laundering",0
"American Samoa",2013,"BSA.Structuring.Money.Laundering",0
"American Samoa",2014,"BSA.Structuring.Money.Laundering",0
"American Samoa",2015,"BSA.Structuring.Money.Laundering",0
"American Samoa",2016,"BSA.Structuring.Money.Laundering",0
"Arizona",1996,"BSA.Structuring.Money.Laundering",406
"Arizona",1997,"BSA.Structuring.Money.Laundering",598
"Arizona",1998,"BSA.Structuring.Money.Laundering",955
"Arizona",1999,"BSA.Structuring.Money.Laundering",1526
"Arizona",2000,"BSA.Structuring.Money.Laundering",1726
"Arizona",2001,"BSA.Structuring.Money.Laundering",2317
"Arizona",2002,"BSA.Structuring.Money.Laundering",5184
"Arizona",2003,"BSA.Structuring.Money.Laundering",2311
"Arizona",2004,"BSA.Structuring.Money.Laundering",3537
"Arizona",2005,"BSA.Structuring.Money.Laundering",5588
"Arizona",2006,"BSA.Structuring.Money.Laundering",4614
"Arizona",2007,"BSA.Structuring.Money.Laundering",4001
"Arizona",2008,"BSA.Structuring.Money.Laundering",5747
"Arizona",2009,"BSA.Structuring.Money.Laundering",7209
"Arizona",2010,"BSA.Structuring.Money.Laundering",8377
"Arizona",2011,"BSA.Structuring.Money.Laundering",0
"Arizona",2012,"BSA.Structuring.Money.Laundering",0
"Arizona",2013,"BSA.Structuring.Money.Laundering",0
"Arizona",2014,"BSA.Structuring.Money.Laundering",0
"Arizona",2015,"BSA.Structuring.Money.Laundering",0
"Arizona",2016,"BSA.Structuring.Money.Laundering",0
"Arkansas",1996,"BSA.Structuring.Money.Laundering",53
"Arkansas",1997,"BSA.Structuring.Money.Laundering",95
"Arkansas",1998,"BSA.Structuring.Money.Laundering",86
"Arkansas",1999,"BSA.Structuring.Money.Laundering",96
"Arkansas",2000,"BSA.Structuring.Money.Laundering",164
"Arkansas",2001,"BSA.Structuring.Money.Laundering",199
"Arkansas",2002,"BSA.Structuring.Money.Laundering",298
"Arkansas",2003,"BSA.Structuring.Money.Laundering",318
"Arkansas",2004,"BSA.Structuring.Money.Laundering",326
"Arkansas",2005,"BSA.Structuring.Money.Laundering",604
"Arkansas",2006,"BSA.Structuring.Money.Laundering",674
"Arkansas",2007,"BSA.Structuring.Money.Laundering",900
"Arkansas",2008,"BSA.Structuring.Money.Laundering",1322
"Arkansas",2009,"BSA.Structuring.Money.Laundering",1463
"Arkansas",2010,"BSA.Structuring.Money.Laundering",1830
"Arkansas",2011,"BSA.Structuring.Money.Laundering",0
"Arkansas",2012,"BSA.Structuring.Money.Laundering",0
"Arkansas",2013,"BSA.Structuring.Money.Laundering",0
"Arkansas",2014,"BSA.Structuring.Money.Laundering",0
"Arkansas",2015,"BSA.Structuring.Money.Laundering",0
"Arkansas",2016,"BSA.Structuring.Money.Laundering",0
"California",1996,"BSA.Structuring.Money.Laundering",9288
"California",1997,"BSA.Structuring.Money.Laundering",9202
"California",1998,"BSA.Structuring.Money.Laundering",13498
"California",1999,"BSA.Structuring.Money.Laundering",16513
"California",2000,"BSA.Structuring.Money.Laundering",32139
"California",2001,"BSA.Structuring.Money.Laundering",39067
"California",2002,"BSA.Structuring.Money.Laundering",47657
"California",2003,"BSA.Structuring.Money.Laundering",48508
"California",2004,"BSA.Structuring.Money.Laundering",69587
"California",2005,"BSA.Structuring.Money.Laundering",95830
"California",2006,"BSA.Structuring.Money.Laundering",81580
"California",2007,"BSA.Structuring.Money.Laundering",99604
"California",2008,"BSA.Structuring.Money.Laundering",96739
"California",2009,"BSA.Structuring.Money.Laundering",82193
"California",2010,"BSA.Structuring.Money.Laundering",86685
"California",2011,"BSA.Structuring.Money.Laundering",0
"California",2012,"BSA.Structuring.Money.Laundering",0
"California",2013,"BSA.Structuring.Money.Laundering",0
"California",2014,"BSA.Structuring.Money.Laundering",0
"California",2015,"BSA.Structuring.Money.Laundering",0
"California",2016,"BSA.Structuring.Money.Laundering",0
"Colorado",1996,"BSA.Structuring.Money.Laundering",339
"Colorado",1997,"BSA.Structuring.Money.Laundering",420
"Colorado",1998,"BSA.Structuring.Money.Laundering",602
"Colorado",1999,"BSA.Structuring.Money.Laundering",832
"Colorado",2000,"BSA.Structuring.Money.Laundering",1088
"Colorado",2001,"BSA.Structuring.Money.Laundering",1817
"Colorado",2002,"BSA.Structuring.Money.Laundering",5135
"Colorado",2003,"BSA.Structuring.Money.Laundering",2000
"Colorado",2004,"BSA.Structuring.Money.Laundering",2318
"Colorado",2005,"BSA.Structuring.Money.Laundering",3912
"Colorado",2006,"BSA.Structuring.Money.Laundering",3620
"Colorado",2007,"BSA.Structuring.Money.Laundering",3196
"Colorado",2008,"BSA.Structuring.Money.Laundering",4271
"Colorado",2009,"BSA.Structuring.Money.Laundering",4576
"Colorado",2010,"BSA.Structuring.Money.Laundering",5831
"Colorado",2011,"BSA.Structuring.Money.Laundering",0
"Colorado",2012,"BSA.Structuring.Money.Laundering",0
"Colorado",2013,"BSA.Structuring.Money.Laundering",0
"Colorado",2014,"BSA.Structuring.Money.Laundering",0
"Colorado",2015,"BSA.Structuring.Money.Laundering",0
"Colorado",2016,"BSA.Structuring.Money.Laundering",0
"Connecticut",1996,"BSA.Structuring.Money.Laundering",178
"Connecticut",1997,"BSA.Structuring.Money.Laundering",373
"Connecticut",1998,"BSA.Structuring.Money.Laundering",480
"Connecticut",1999,"BSA.Structuring.Money.Laundering",583
"Connecticut",2000,"BSA.Structuring.Money.Laundering",868
"Connecticut",2001,"BSA.Structuring.Money.Laundering",874
"Connecticut",2002,"BSA.Structuring.Money.Laundering",1470
"Connecticut",2003,"BSA.Structuring.Money.Laundering",1323
"Connecticut",2004,"BSA.Structuring.Money.Laundering",1952
"Connecticut",2005,"BSA.Structuring.Money.Laundering",2199
"Connecticut",2006,"BSA.Structuring.Money.Laundering",5024
"Connecticut",2007,"BSA.Structuring.Money.Laundering",5492
"Connecticut",2008,"BSA.Structuring.Money.Laundering",5000
"Connecticut",2009,"BSA.Structuring.Money.Laundering",4366
"Connecticut",2010,"BSA.Structuring.Money.Laundering",4295
"Connecticut",2011,"BSA.Structuring.Money.Laundering",0
"Connecticut",2012,"BSA.Structuring.Money.Laundering",0
"Connecticut",2013,"BSA.Structuring.Money.Laundering",0
"Connecticut",2014,"BSA.Structuring.Money.Laundering",0
"Connecticut",2015,"BSA.Structuring.Money.Laundering",0
"Connecticut",2016,"BSA.Structuring.Money.Laundering",0
"Delaware",1996,"BSA.Structuring.Money.Laundering",13
"Delaware",1997,"BSA.Structuring.Money.Laundering",45
"Delaware",1998,"BSA.Structuring.Money.Laundering",40
"Delaware",1999,"BSA.Structuring.Money.Laundering",170
"Delaware",2000,"BSA.Structuring.Money.Laundering",128
"Delaware",2001,"BSA.Structuring.Money.Laundering",123
"Delaware",2002,"BSA.Structuring.Money.Laundering",288
"Delaware",2003,"BSA.Structuring.Money.Laundering",478
"Delaware",2004,"BSA.Structuring.Money.Laundering",1122
"Delaware",2005,"BSA.Structuring.Money.Laundering",2656
"Delaware",2006,"BSA.Structuring.Money.Laundering",3850
"Delaware",2007,"BSA.Structuring.Money.Laundering",1555
"Delaware",2008,"BSA.Structuring.Money.Laundering",825
"Delaware",2009,"BSA.Structuring.Money.Laundering",1164
"Delaware",2010,"BSA.Structuring.Money.Laundering",1418
"Delaware",2011,"BSA.Structuring.Money.Laundering",0
"Delaware",2012,"BSA.Structuring.Money.Laundering",0
"Delaware",2013,"BSA.Structuring.Money.Laundering",0
"Delaware",2014,"BSA.Structuring.Money.Laundering",0
"Delaware",2015,"BSA.Structuring.Money.Laundering",0
"Delaware",2016,"BSA.Structuring.Money.Laundering",0
"District of Columbia",1996,"BSA.Structuring.Money.Laundering",54
"District of Columbia",1997,"BSA.Structuring.Money.Laundering",66
"District of Columbia",1998,"BSA.Structuring.Money.Laundering",80
"District of Columbia",1999,"BSA.Structuring.Money.Laundering",146
"District of Columbia",2000,"BSA.Structuring.Money.Laundering",242
"District of Columbia",2001,"BSA.Structuring.Money.Laundering",313
"District of Columbia",2002,"BSA.Structuring.Money.Laundering",368
"District of Columbia",2003,"BSA.Structuring.Money.Laundering",385
"District of Columbia",2004,"BSA.Structuring.Money.Laundering",663
"District of Columbia",2005,"BSA.Structuring.Money.Laundering",807
"District of Columbia",2006,"BSA.Structuring.Money.Laundering",629
"District of Columbia",2007,"BSA.Structuring.Money.Laundering",798
"District of Columbia",2008,"BSA.Structuring.Money.Laundering",1046
"District of Columbia",2009,"BSA.Structuring.Money.Laundering",1234
"District of Columbia",2010,"BSA.Structuring.Money.Laundering",1212
"District of Columbia",2011,"BSA.Structuring.Money.Laundering",0
"District of Columbia",2012,"BSA.Structuring.Money.Laundering",0
"District of Columbia",2013,"BSA.Structuring.Money.Laundering",0
"District of Columbia",2014,"BSA.Structuring.Money.Laundering",0
"District of Columbia",2015,"BSA.Structuring.Money.Laundering",0
"District of Columbia",2016,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",1996,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",1997,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",1998,"BSA.Structuring.Money.Laundering",1
"Federated States of Micronesia",1999,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2000,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2001,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2002,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2003,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2004,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2005,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2006,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2007,"BSA.Structuring.Money.Laundering",5
"Federated States of Micronesia",2008,"BSA.Structuring.Money.Laundering",3
"Federated States of Micronesia",2009,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2010,"BSA.Structuring.Money.Laundering",1
"Federated States of Micronesia",2011,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2012,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2013,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2014,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2015,"BSA.Structuring.Money.Laundering",0
"Federated States of Micronesia",2016,"BSA.Structuring.Money.Laundering",0
"Florida",1996,"BSA.Structuring.Money.Laundering",2753
"Florida",1997,"BSA.Structuring.Money.Laundering",4149
"Florida",1998,"BSA.Structuring.Money.Laundering",4873
"Florida",1999,"BSA.Structuring.Money.Laundering",5077
"Florida",2000,"BSA.Structuring.Money.Laundering",5881
"Florida",2001,"BSA.Structuring.Money.Laundering",7487
"Florida",2002,"BSA.Structuring.Money.Laundering",10508
"Florida",2003,"BSA.Structuring.Money.Laundering",8606
"Florida",2004,"BSA.Structuring.Money.Laundering",9662
"Florida",2005,"BSA.Structuring.Money.Laundering",13979
"Florida",2006,"BSA.Structuring.Money.Laundering",17802
"Florida",2007,"BSA.Structuring.Money.Laundering",20383
"Florida",2008,"BSA.Structuring.Money.Laundering",25902
"Florida",2009,"BSA.Structuring.Money.Laundering",26588
"Florida",2010,"BSA.Structuring.Money.Laundering",28065
"Florida",2011,"BSA.Structuring.Money.Laundering",0
"Florida",2012,"BSA.Structuring.Money.Laundering",0
"Florida",2013,"BSA.Structuring.Money.Laundering",0
"Florida",2014,"BSA.Structuring.Money.Laundering",0
"Florida",2015,"BSA.Structuring.Money.Laundering",0
"Florida",2016,"BSA.Structuring.Money.Laundering",0
"Georgia",1996,"BSA.Structuring.Money.Laundering",278
"Georgia",1997,"BSA.Structuring.Money.Laundering",473
"Georgia",1998,"BSA.Structuring.Money.Laundering",648
