"State.Territory","Year","Incidents"
"Alabama","1996",362
"Alaska","1996",65
"American Samoa","1996",2
"Arizona","1996",1905
"Arkansas","1996",206
"California","1996",12631
"Colorado","1996",881
"Connecticut","1996",422
"Delaware","1996",1136
"District of Columbia","1996",174
"Federated States of Micronesia","1996",1
"Florida","1996",4195
"Georgia","1996",907
"Guam","1996",27
"Hawaii","1996",406
"Idaho","1996",109
"Illinois","1996",1601
"Indiana","1996",596
"Iowa","1996",267
"Kansas","1996",275
"Kentucky","1996",271
"Louisiana","1996",500
"Maine","1996",120
"Marshall Islands","1996",0
"Maryland","1996",652
"Massachusetts","1996",885
"Michigan","1996",1175
"Minnesota","1996",1000
"Mississippi","1996",160
"Missouri","1996",638
"Montana","1996",71
"Nebraska","1996",194
"Nevada","1996",695
"New Hampshire","1996",273
"New Jersey","1996",949
"New Mexico","1996",237
"New York","1996",5511
"North Carolina","1996",939
"North Dakota","1996",43
"Northern Mariana Islands","1996",22
"Ohio","1996",975
"Oklahoma","1996",395
"Oregon","1996",602
"Overseas","1996",12
"Palau","1996",0
"Pennsylvania","1996",1510
"Puerto Rico","1996",188
"Rhode Island","1996",166
"South Carolina","1996",312
"South Dakota","1996",326
"Tennessee","1996",569
"Texas","1996",4001
"U.S. Virgin Islands","1996",3
"Unknown/Blank","1996",318
"Utah","1996",387
"Vermont","1996",57
"Virginia","1996",634
"Washington","1996",771
"West Virginia","1996",114
"Wisconsin","1996",372
"Wyoming","1996",27
"Alabama","1997",445
"Alaska","1997",59
"American Samoa","1997",0
"Arizona","1997",3104
"Arkansas","1997",335
"California","1997",18143
"Colorado","1997",1069
"Connecticut","1997",785
"Delaware","1997",1429
"District of Columbia","1997",233
"Federated States of Micronesia","1997",3
"Florida","1997",6560
"Georgia","1997",1492
"Guam","1997",80
"Hawaii","1997",536
"Idaho","1997",150
"Illinois","1997",2763
"Indiana","1997",764
"Iowa","1997",363
"Kansas","1997",287
"Kentucky","1997",388
"Louisiana","1997",594
"Maine","1997",186
"Marshall Islands","1997",0
"Maryland","1997",937
"Massachusetts","1997",1402
"Michigan","1997",1719
"Minnesota","1997",2266
"Mississippi","1997",251
"Missouri","1997",966
"Montana","1997",107
"Nebraska","1997",249
"Nevada","1997",1486
"New Hampshire","1997",506
"New Jersey","1997",1530
"New Mexico","1997",237
"New York","1997",9661
"North Carolina","1997",1621
"North Dakota","1997",215
"Northern Mariana Islands","1997",5
"Ohio","1997",1722
"Oklahoma","1997",497
"Oregon","1997",1117
"Overseas","1997",39
"Palau","1997",0
"Pennsylvania","1997",2481
"Puerto Rico","1997",562
"Rhode Island","1997",290
"South Carolina","1997",563
"South Dakota","1997",430
"Tennessee","1997",799
"Texas","1997",4913
"U.S. Virgin Islands","1997",9
"Unknown/Blank","1997",205
"Utah","1997",882
"Vermont","1997",88
"Virginia","1997",1208
"Washington","1997",1733
"West Virginia","1997",154
"Wisconsin","1997",551
"Wyoming","1997",43
"Alabama","1998",406
"Alaska","1998",131
"American Samoa","1998",7
"Arizona","1998",2392
"Arkansas","1998",297
"California","1998",22836
"Colorado","1998",1475
"Connecticut","1998",937
"Delaware","1998",1657
"District of Columbia","1998",274
"Federated States of Micronesia","1998",3
"Florida","1998",6988
"Georgia","1998",1656
"Guam","1998",52
"Hawaii","1998",553
"Idaho","1998",120
"Illinois","1998",2863
"Indiana","1998",955
"Iowa","1998",325
"Kansas","1998",362
"Kentucky","1998",424
"Louisiana","1998",666
"Maine","1998",189
"Marshall Islands","1998",0
"Maryland","1998",1182
"Massachusetts","1998",1828
"Michigan","1998",1848
"Minnesota","1998",2208
"Mississippi","1998",222
"Missouri","1998",1139
"Montana","1998",100
"Nebraska","1998",315
"Nevada","1998",1966
"New Hampshire","1998",416
"New Jersey","1998",2377
"New Mexico","1998",286
"New York","1998",13297
"North Carolina","1998",2063
"North Dakota","1998",212
"Northern Mariana Islands","1998",13
"Ohio","1998",2198
"Oklahoma","1998",503
"Oregon","1998",1196
"Overseas","1998",7
"Palau","1998",0
"Pennsylvania","1998",2409
"Puerto Rico","1998",440
"Rhode Island","1998",283
"South Carolina","1998",627
"South Dakota","1998",547
"Tennessee","1998",890
"Texas","1998",6158
"U.S. Virgin Islands","1998",12
"Unknown/Blank","1998",28
"Utah","1998",1068
"Vermont","1998",61
"Virginia","1998",1501
"Washington","1998",2176
"West Virginia","1998",161
"Wisconsin","1998",649
"Wyoming","1998",54
"Alabama","1999",528
"Alaska","1999",157
"American Samoa","1999",2
"Arizona","1999",2505
"Arkansas","1999",430
"California","1999",24995
"Colorado","1999",1679
"Connecticut","1999",4449
"Delaware","1999",2004
"District of Columbia","1999",285
"Federated States of Micronesia","1999",1
"Florida","1999",7913
"Georgia","1999",2205
"Guam","1999",84
"Hawaii","1999",550
"Idaho","1999",186
"Illinois","1999",3793
"Indiana","1999",1163
"Iowa","1999",427
"Kansas","1999",555
"Kentucky","1999",751
"Louisiana","1999",902
"Maine","1999",213
"Marshall Islands","1999",2
"Maryland","1999",1537
"Massachusetts","1999",2477
"Michigan","1999",2746
"Minnesota","1999",2511
"Mississippi","1999",283
"Missouri","1999",1215
"Montana","1999",152
"Nebraska","1999",371
"Nevada","1999",2063
"New Hampshire","1999",573
"New Jersey","1999",3349
"New Mexico","1999",307
"New York","1999",17748
"North Carolina","1999",2366
"North Dakota","1999",122
"Northern Mariana Islands","1999",33
"Ohio","1999",2295
"Oklahoma","1999",698
"Oregon","1999",1807
"Overseas","1999",2
"Palau","1999",0
"Pennsylvania","1999",3571
"Puerto Rico","1999",316
"Rhode Island","1999",503
"South Carolina","1999",668
"South Dakota","1999",675
"Tennessee","1999",993
"Texas","1999",7605
"U.S. Virgin Islands","1999",17
"Unknown/Blank","1999",26
"Utah","1999",1361
"Vermont","1999",58
"Virginia","1999",1535
"Washington","1999",3124
"West Virginia","1999",154
"Wisconsin","1999",755
"Wyoming","1999",40
"Alabama","2000",689
"Alaska","2000",353
"American Samoa","2000",10
"Arizona","2000",3894
"Arkansas","2000",560
"California","2000",43304
"Colorado","2000",2146
"Connecticut","2000",4873
"Delaware","2000",3670
"District of Columbia","2000",467
"Federated States of Micronesia","2000",3
"Florida","2000",9918
"Georgia","2000",3141
"Guam","2000",73
"Hawaii","2000",731
"Idaho","2000",402
"Illinois","2000",4790
"Indiana","2000",1349
"Iowa","2000",493
"Kansas","2000",520
"Kentucky","2000",853
"Louisiana","2000",1943
"Maine","2000",241
"Marshall Islands","2000",0
"Maryland","2000",2069
"Massachusetts","2000",2747
"Michigan","2000",3765
"Minnesota","2000",2893
"Mississippi","2000",521
"Missouri","2000",1590
"Montana","2000",220
"Nebraska","2000",615
"Nevada","2000",3074
"New Hampshire","2000",448
"New Jersey","2000",4197
"New Mexico","2000",403
"New York","2000",19138
"North Carolina","2000",2978
"North Dakota","2000",224
"Northern Mariana Islands","2000",57
"Ohio","2000",3319
"Oklahoma","2000",813
"Oregon","2000",2471
"Overseas","2000",22
"Palau","2000",0
"Pennsylvania","2000",3535
"Puerto Rico","2000",1063
"Rhode Island","2000",495
"South Carolina","2000",733
