"Nature","Year","Incidents"
"Alters transaction to avoid completion of funds transfer record or money order or traveler's check record ($3,000 or more)","1996",0
"Alters transaction to avoid filing a CTR form (over $10,000)","1996",0
"Changes spelling or arrangement of name","1996",0
"Comes in frequently and purchases less than $3,000","1996",0
"Individual(s) using multiple or false identification documents","1996",0
"Offers a bribe in the form of a tip/gratuity.","1996",0
"Same individual(s) using multiple locations over a short time period","1996",0
"Two or more individuals using the similar/same identification","1996",0
"Two or more individuals working together","1996",0
"Unknown/Blank","1996",0
"Exchanges small bills for large bills or vice versa","1996",0
"Alters transaction to avoid completion of funds transfer record or money order or traveler's check record ($3,000 or more)","1997",0
"Alters transaction to avoid filing a CTR form (over $10,000)","1997",0
"Changes spelling or arrangement of name","1997",0
"Comes in frequently and purchases less than $3,000","1997",0
"Individual(s) using multiple or false identification documents","1997",0
"Offers a bribe in the form of a tip/gratuity.","1997",0
"Same individual(s) using multiple locations over a short time period","1997",0
"Two or more individuals using the similar/same identification","1997",0
"Two or more individuals working together","1997",0
"Unknown/Blank","1997",0
"Exchanges small bills for large bills or vice versa","1997",0
"Alters transaction to avoid completion of funds transfer record or money order or traveler's check record ($3,000 or more)","1998",0
"Alters transaction to avoid filing a CTR form (over $10,000)","1998",0
"Changes spelling or arrangement of name","1998",0
"Comes in frequently and purchases less than $3,000","1998",0
"Individual(s) using multiple or false identification documents","1998",0
"Offers a bribe in the form of a tip/gratuity.","1998",0
"Same individual(s) using multiple locations over a short time period","1998",0
"Two or more individuals using the similar/same identification","1998",0
"Two or more individuals working together","1998",0
"Unknown/Blank","1998",0
"Exchanges small bills for large bills or vice versa","1998",0
"Alters transaction to avoid completion of funds transfer record or money order or traveler's check record ($3,000 or more)","1999",0
"Alters transaction to avoid filing a CTR form (over $10,000)","1999",0
"Changes spelling or arrangement of name","1999",0
"Comes in frequently and purchases less than $3,000","1999",0
"Individual(s) using multiple or false identification documents","1999",0
"Offers a bribe in the form of a tip/gratuity.","1999",0
"Same individual(s) using multiple locations over a short time period","1999",0
"Two or more individuals using the similar/same identification","1999",0
"Two or more individuals working together","1999",0
"Unknown/Blank","1999",0
"Exchanges small bills for large bills or vice versa","1999",0
"Alters transaction to avoid completion of funds transfer record or money order or traveler's check record ($3,000 or more)","2000",0
"Alters transaction to avoid filing a CTR form (over $10,000)","2000",0
"Changes spelling or arrangement of name","2000",0
"Comes in frequently and purchases less than $3,000","2000",0
