"State","Year","Nature","Incidents"
"Alabama",1996,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alabama",1997,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alabama",1998,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alabama",1999,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alabama",2000,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alabama",2001,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alabama",2002,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",4
"Alabama",2003,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",418
"Alabama",2004,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",718
"Alabama",2005,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",1433
"Alabama",2006,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",2491
"Alabama",2007,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",2534
"Alabama",2008,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",1947
"Alabama",2009,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",1774
"Alabama",2010,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",1001
"Alabama",2011,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alaska",1996,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alaska",1997,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alaska",1998,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alaska",1999,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alaska",2000,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alaska",2001,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"Alaska",2002,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",1
"Alaska",2003,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",64
"Alaska",2004,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",84
"Alaska",2005,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",194
"Alaska",2006,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",300
"Alaska",2007,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",357
"Alaska",2008,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",364
"Alaska",2009,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",305
"Alaska",2010,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",228
"Alaska",2011,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"American Samoa",1996,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"American Samoa",1997,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"American Samoa",1998,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"American Samoa",1999,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"American Samoa",2000,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"American Samoa",2001,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"American Samoa",2002,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",0
"American Samoa",2003,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",4
"American Samoa",2004,"Alters.transaction.to.avoid.completion.of.funds.transfer.record.or.money.order.or.traveler.s.check.record...3.000.or.more.",7
