"Year.Mo","Year","Incidents"
"January","1996",0
"February","1996",0
"March","1996",0
"April","1996",0
"May","1996",0
"June","1996",0
"July","1996",0
"August","1996",0
"September","1996",0
"October","1996",0
"November","1996",0
"December","1996",0
"January","1997",0
"February","1997",0
"March","1997",0
"April","1997",0
"May","1997",0
"June","1997",0
"July","1997",0
"August","1997",0
"September","1997",0
"October","1997",0
"November","1997",0
"December","1997",0
"January","1998",0
"February","1998",0
"March","1998",0
"April","1998",0
"May","1998",0
"June","1998",0
"July","1998",0
"August","1998",0
"September","1998",0
"October","1998",0
"November","1998",0
"December","1998",0
"January","1999",0
"February","1999",0
"March","1999",0
"April","1999",0
"May","1999",0
"June","1999",0
"July","1999",0
"August","1999",0
"September","1999",0
"October","1999",0
"November","1999",0
"December","1999",0
"January","2000",0
"February","2000",0
"March","2000",0
"April","2000",0
"May","2000",0
"June","2000",0
"July","2000",0
"August","2000",0
"September","2000",0
"October","2000",0
"November","2000",0
"December","2000",0
"January","2001",0
"February","2001",0
"March","2001",0
"April","2001",0
"May","2001",0
"June","2001",0
"July","2001",0
"August","2001",0
"September","2001",0
"October","2001",0
"November","2001",0
"December","2001",0
"January","2002",0
"February","2002",0
"March","2002",0
"April","2002",0
"May","2002",0
"June","2002",0
"July","2002",0
"August","2002",0
"September","2002",0
"October","2002",947
"November","2002",1309
"December","2002",3467
"January","2003",5078
"February","2003",8056
"March","2003",23222
"April","2003",18517
"May","2003",12823
"June","2003",18685
"July","2003",18718
"August","2003",16985
"September","2003",22086
"October","2003",22807
"November","2003",22144
"December","2003",20391
"January","2004",17172
"February","2004",21693
"March","2004",26373
"April","2004",23751
"May","2004",25153
"June","2004",28002
"July","2004",22738
"August","2004",24517
"September","2004",23529
"October","2004",27404
"November","2004",26201
"December","2004",29751
"January","2005",27453
"February","2005",25646
"March","2005",30565
"April","2005",34352
"May","2005",29349
"June","2005",30578
"July","2005",32334
"August","2005",36554
"September","2005",38637
"October","2005",32015
"November","2005",34737
"December","2005",31347
"January","2006",35605
"February","2006",52663
"March","2006",73113
"April","2006",33084
"May","2006",37059
"June","2006",39196
"July","2006",38501
"August","2006",42311
"September","2006",29416
"October","2006",46966
"November","2006",42297
"December","2006",26189
"January","2007",44528
"February","2007",37361
"March","2007",40750
"April","2007",33550
"May","2007",47424
"June","2007",39784
"July","2007",45754
"August","2007",46735
"September","2007",40240
"October","2007",53540
"November","2007",79164
"December","2007",69609
"January","2008",45562
"February","2008",40988
"March","2008",40263
"April","2008",44983
"May","2008",44178
"June","2008",39163
"July","2008",43618
"August","2008",46170
"September","2008",45323
"October","2008",51356
"November","2008",41808
"December","2008",48349
"January","2009",43410
"February","2009",39776
"March","2009",48580
"April","2009",46848
"May","2009",43926
"June","2009",46048
"July","2009",43904
"August","2009",41296
"September","2009",41903
"October","2009",43055
"November","2009",48310
"December","2009",43462
"January","2010",50774
"February","2010",49678
"March","2010",53422
"April","2010",51820
"May","2010",49462
"June","2010",52419
"July","2010",0
"August","2010",0
"September","2010",0
"October","2010",0
"November","2010",0
"December","2010",0
"January","2011",0
"February","2011",0
"March","2011",0
"April","2011",0
"May","2011",0
"June","2011",0
"July","2011",0
"August","2011",0
"September","2011",0
"October","2011",0
"November","2011",0
"December","2011",0
"January","2012",0
"February","2012",0
"March","2012",7
"April","2012",327
"May","2012",632
"June","2012",1083
"July","2012",4102
"August","2012",5195
"September","2012",6037
"October","2012",6308
"November","2012",15116
"December","2012",12075
"January","2013",14919
"February","2013",10203
"March","2013",19746
"April","2013",37366
"May","2013",58562
"June","2013",44577
"July","2013",43846
"August","2013",45074
"September","2013",45729
"October","2013",59559
"November","2013",48535
"December","2013",62899
"January","2014",57353
"February","2014",55217
"March","2014",55700
"April","2014",64642
"May","2014",57753
"June","2014",63961
"July","2014",57667
"August","2014",54290
"September","2014",64317
"October","2014",62385
"November","2014",66810
"December","2014",60890
