"Institution.Individual","Year","Incidents"
"Agriculture Trade Option Merchant",1996,0
"Affiliate of Bank Holding Company",1996,0
"Commodity Pool Operator",1996,0
"Commodity Trading Advisor",1996,0
"Direct Participation Program",1996,0
"Futures Commission Merchant",1996,0
"Futures Floor Broker",1996,0
"Futures Floor Trader",1996,0
"Introducing Broker - Futures",1996,0
"Investment Advisor",1996,0
"Investment Company - Mutual Fund ",1996,0
"Market Maker",1996,0
"Municipal Securities Dealer",1996,0
"National Futures Association",1996,0
"Registered Equity - Futures",1996,0
"Other Registered Futures Associations",1996,0
"Securities Brokers - Clearing ",1996,0
"Securities Brokers - Introducing ",1996,0
"Securities Dealer",1996,0
"Securities Floor Broker",1996,0
"Securities Options Broker - Dealer",1996,0
"Self Regulatory Organization (SRO)",1996,0
"Specialist",1996,0
"Subsidiary of Bank",1996,0
"U.S. Government Broker - Dealer",1996,0
"U.S. Government Interdealer Broker",1996,0
"Other",1996,0
"Unknown/Blank",1996,0
"Agriculture Trade Option Merchant",1997,0
"Affiliate of Bank Holding Company",1997,0
"Commodity Pool Operator",1997,0
"Commodity Trading Advisor",1997,0
"Direct Participation Program",1997,0
"Futures Commission Merchant",1997,0
"Futures Floor Broker",1997,0
"Futures Floor Trader",1997,0
"Introducing Broker - Futures",1997,0
"Investment Advisor",1997,0
"Investment Company - Mutual Fund ",1997,0
"Market Maker",1997,0
"Municipal Securities Dealer",1997,0
"National Futures Association",1997,0
"Registered Equity - Futures",1997,0
"Other Registered Futures Associations",1997,0
"Securities Brokers - Clearing ",1997,0
"Securities Brokers - Introducing ",1997,0
"Securities Dealer",1997,0
"Securities Floor Broker",1997,0
"Securities Options Broker - Dealer",1997,0
"Self Regulatory Organization (SRO)",1997,0
"Specialist",1997,0
"Subsidiary of Bank",1997,0
"U.S. Government Broker - Dealer",1997,0
"U.S. Government Interdealer Broker",1997,0
"Other",1997,0
"Unknown/Blank",1997,0
"Agriculture Trade Option Merchant",1998,0
"Affiliate of Bank Holding Company",1998,0
"Commodity Pool Operator",1998,0
"Commodity Trading Advisor",1998,0
"Direct Participation Program",1998,0
"Futures Commission Merchant",1998,0
