"Instrument","Year","Incidents"
"Bonds/Notes","1996",0
"Cash or Equivalent","1996",0
"Commercial Paper","1996",0
"Commodity Futures Contract","1996",0
"Money Market Mutual Fund","1996",0
"Mutual Fund","1996",0
"OTC Derivatives","1996",0
"Other Derivatives","1996",0
"Commodity Options","1996",0
"Securities Futures Products","1996",0
"Stocks","1996",0
"Warrants","1996",0
"Other Securities","1996",0
"Foreign Currency Futures","1996",0
"Foreign Currencies","1996",0
"Other Non-Securities","1996",0
"Unknown/Blank","1996",0
"Other","1996",0
"Bonds/Notes","1997",0
"Cash or Equivalent","1997",0
"Commercial Paper","1997",0
"Commodity Futures Contract","1997",0
"Money Market Mutual Fund","1997",0
"Mutual Fund","1997",0
"OTC Derivatives","1997",0
"Other Derivatives","1997",0
"Commodity Options","1997",0
"Securities Futures Products","1997",0
"Stocks","1997",0
"Warrants","1997",0
"Other Securities","1997",0
"Foreign Currency Futures","1997",0
"Foreign Currencies","1997",0
"Other Non-Securities","1997",0
"Unknown/Blank","1997",0
"Other","1997",0
"Bonds/Notes","1998",0
"Cash or Equivalent","1998",0
"Commercial Paper","1998",0
"Commodity Futures Contract","1998",0
"Money Market Mutual Fund","1998",0
"Mutual Fund","1998",0
"OTC Derivatives","1998",0
"Other Derivatives","1998",0
"Commodity Options","1998",0
"Securities Futures Products","1998",0
"Stocks","1998",0
"Warrants","1998",0
"Other Securities","1998",0
"Foreign Currency Futures","1998",0
"Foreign Currencies","1998",0
"Other Non-Securities","1998",0
"Unknown/Blank","1998",0
"Other","1998",0
"Bonds/Notes","1999",0
"Cash or Equivalent","1999",0
"Commercial Paper","1999",0
"Commodity Futures Contract","1999",0
"Money Market Mutual Fund","1999",0
"Mutual Fund","1999",0
"OTC Derivatives","1999",0
"Other Derivatives","1999",0
"Commodity Options","1999",0
"Securities Futures Products","1999",0
"Stocks","1999",0
"Warrants","1999",0
"Other Securities","1999",0
"Foreign Currency Futures","1999",0
"Foreign Currencies","1999",0
"Other Non-Securities","1999",0
"Unknown/Blank","1999",0
"Other","1999",0
"Bonds/Notes","2000",0
"Cash or Equivalent","2000",0
"Commercial Paper","2000",0
"Commodity Futures Contract","2000",0
"Money Market Mutual Fund","2000",0
"Mutual Fund","2000",0
"OTC Derivatives","2000",0
"Other Derivatives","2000",0
"Commodity Options","2000",0
"Securities Futures Products","2000",0
"Stocks","2000",0
"Warrants","2000",0
"Other Securities","2000",0
"Foreign Currency Futures","2000",0
"Foreign Currencies","2000",0
"Other Non-Securities","2000",0
"Unknown/Blank","2000",0
"Other","2000",0
"Bonds/Notes","2001",0
"Cash or Equivalent","2001",0
"Commercial Paper","2001",0
"Commodity Futures Contract","2001",0
"Money Market Mutual Fund","2001",0
"Mutual Fund","2001",0
"OTC Derivatives","2001",0
"Other Derivatives","2001",0
"Commodity Options","2001",0
"Securities Futures Products","2001",0
"Stocks","2001",0
"Warrants","2001",0
"Other Securities","2001",0
"Foreign Currency Futures","2001",0
"Foreign Currencies","2001",0
"Other Non-Securities","2001",0
"Unknown/Blank","2001",0
"Other","2001",0
"Bonds/Notes","2002",0
"Cash or Equivalent","2002",0
"Commercial Paper","2002",0
"Commodity Futures Contract","2002",0
"Money Market Mutual Fund","2002",0
"Mutual Fund","2002",0
"OTC Derivatives","2002",0
"Other Derivatives","2002",0
"Commodity Options","2002",0
"Securities Futures Products","2002",0
"Stocks","2002",0
"Warrants","2002",0
"Other Securities","2002",0
"Foreign Currency Futures","2002",0
"Foreign Currencies","2002",0
"Other Non-Securities","2002",0
"Unknown/Blank","2002",0
"Other","2002",0
"Bonds/Notes","2003",107
"Cash or Equivalent","2003",2305
"Commercial Paper","2003",5
"Commodity Futures Contract","2003",8
"Money Market Mutual Fund","2003",242
"Mutual Fund","2003",268
"OTC Derivatives","2003",2
"Other Derivatives","2003",4
"Commodity Options","2003",3
"Securities Futures Products","2003",3
"Stocks","2003",382
"Warrants","2003",3
"Other Securities","2003",43
"Foreign Currency Futures","2003",1
"Foreign Currencies","2003",9
"Other Non-Securities","2003",30
"Unknown/Blank","2003",302
"Other","2003",990
"Bonds/Notes","2004",151
"Cash or Equivalent","2004",3040
"Commercial Paper","2004",8
"Commodity Futures Contract","2004",5
"Money Market Mutual Fund","2004",258
"Mutual Fund","2004",317
"OTC Derivatives","2004",12
"Other Derivatives","2004",11
"Commodity Options","2004",7
"Securities Futures Products","2004",10
"Stocks","2004",621
"Warrants","2004",3
"Other Securities","2004",57
"Foreign Currency Futures","2004",3
"Foreign Currencies","2004",19
"Other Non-Securities","2004",40
"Unknown/Blank","2004",268
"Other","2004",1239
"Bonds/Notes","2005",172
"Cash or Equivalent","2005",3395
"Commercial Paper","2005",11
"Commodity Futures Contract","2005",7
"Money Market Mutual Fund","2005",196
"Mutual Fund","2005",308
"OTC Derivatives","2005",16
"Other Derivatives","2005",10
"Commodity Options","2005",7
"Securities Futures Products","2005",8
"Stocks","2005",1194
"Warrants","2005",7
"Other Securities","2005",84
"Foreign Currency Futures","2005",4
"Foreign Currencies","2005",26
"Other Non-Securities","2005",26
"Unknown/Blank","2005",257
"Other","2005",1804
"Bonds/Notes","2006",219
"Cash or Equivalent","2006",4045
"Commercial Paper","2006",23
"Commodity Futures Contract","2006",11
"Money Market Mutual Fund","2006",257
"Mutual Fund","2006",308
"OTC Derivatives","2006",15
"Other Derivatives","2006",26
"Commodity Options","2006",6
"Securities Futures Products","2006",20
"Stocks","2006",1490
"Warrants","2006",10
"Other Securities","2006",78
"Foreign Currency Futures","2006",7
"Foreign Currencies","2006",52
"Other Non-Securities","2006",78
"Unknown/Blank","2006",434
"Other","2006",1834
"Bonds/Notes","2007",261
"Cash or Equivalent","2007",6341
"Commercial Paper","2007",42
"Commodity Futures Contract","2007",27
"Money Market Mutual Fund","2007",373
"Mutual Fund","2007",660
"OTC Derivatives","2007",35
"Other Derivatives","2007",39
"Commodity Options","2007",13
"Securities Futures Products","2007",7
"Stocks","2007",2948
"Warrants","2007",21
"Other Securities","2007",104
"Foreign Currency Futures","2007",9
"Foreign Currencies","2007",154
"Other Non-Securities","2007",94
"Unknown/Blank","2007",866
"Other","2007",2243
"Bonds/Notes","2008",424
"Cash or Equivalent","2008",6727
"Commercial Paper","2008",33
"Commodity Futures Contract","2008",29
"Money Market Mutual Fund","2008",428
"Mutual Fund","2008",552
"OTC Derivatives","2008",30
"Other Derivatives","2008",38
"Commodity Options","2008",11
"Securities Futures Products","2008",25
"Stocks","2008",3233
"Warrants","2008",13
"Other Securities","2008",177
"Foreign Currency Futures","2008",200
"Foreign Currencies","2008",180
"Other Non-Securities","2008",122
"Unknown/Blank","2008",1416
"Other","2008",2817
"Bonds/Notes","2009",529
"Cash or Equivalent","2009",7604
"Commercial Paper","2009",79
"Commodity Futures Contract","2009",65
"Money Market Mutual Fund","2009",408
"Mutual Fund","2009",562
"OTC Derivatives","2009",44
"Other Derivatives","2009",78
"Commodity Options","2009",23
"Securities Futures Products","2009",29
"Stocks","2009",4250
"Warrants","2009",52
"Other Securities","2009",214
"Foreign Currency Futures","2009",1052
"Foreign Currencies","2009",451
"Other Non-Securities","2009",84
"Unknown/Blank","2009",1274
"Other","2009",3252
"Bonds/Notes","2010",250
"Cash or Equivalent","2010",3519
"Commercial Paper","2010",47
"Commodity Futures Contract","2010",17
"Money Market Mutual Fund","2010",222
"Mutual Fund","2010",258
"OTC Derivatives","2010",23
"Other Derivatives","2010",53
"Commodity Options","2010",6
"Securities Futures Products","2010",44
"Stocks","2010",2710
"Warrants","2010",19
"Other Securities","2010",116
"Foreign Currency Futures","2010",447
"Foreign Currencies","2010",101
"Other Non-Securities","2010",38
"Unknown/Blank","2010",535
"Other","2010",1503
