"Nature","Year","Incidents"
"Bribery/Gratuity",1996,0
"Check Fraud",1996,0
"Computer Intrusion",1996,0
"Credit/Debit Card Fraud",1996,0
"Embezzlement/Theft",1996,0
"Forgery",1996,0
"Futures Fraud",1996,0
"Identity Theft",1996,0
"Insider Trading",1996,0
"Mail Fraud",1996,0
"Market Manipulation",1996,0
"Money Laundering/Structuring",1996,0
"Other",1996,0
"Prearranged or Other Non-Competitive Trading",1996,0
"Securities Fraud",1996,0
"Significant Wire or Other Transactions Without Economic Purpose",1996,0
"Suspicious Documents or ID Presented",1996,0
"Terrorist Financing",1996,0
"Unknown/Blank",1996,0
"Wash or Other Fictitious Trading",1996,0
"Wire Fraud",1996,0
"Bribery/Gratuity",1997,0
"Check Fraud",1997,0
"Computer Intrusion",1997,0
"Credit/Debit Card Fraud",1997,0
"Embezzlement/Theft",1997,0
"Forgery",1997,0
"Futures Fraud",1997,0
"Identity Theft",1997,0
"Insider Trading",1997,0
"Mail Fraud",1997,0
"Market Manipulation",1997,0
"Money Laundering/Structuring",1997,0
"Other",1997,0
"Prearranged or Other Non-Competitive Trading",1997,0
"Securities Fraud",1997,0
"Significant Wire or Other Transactions Without Economic Purpose",1997,0
"Suspicious Documents or ID Presented",1997,0
"Terrorist Financing",1997,0
"Unknown/Blank",1997,0
"Wash or Other Fictitious Trading",1997,0
"Wire Fraud",1997,0
"Bribery/Gratuity",1998,0
"Check Fraud",1998,0
"Computer Intrusion",1998,0
"Credit/Debit Card Fraud",1998,0
"Embezzlement/Theft",1998,0
"Forgery",1998,0
"Futures Fraud",1998,0
"Identity Theft",1998,0
"Insider Trading",1998,0
"Mail Fraud",1998,0
"Market Manipulation",1998,0
"Money Laundering/Structuring",1998,0
"Other",1998,0
"Prearranged or Other Non-Competitive Trading",1998,0
"Securities Fraud",1998,0
"Significant Wire or Other Transactions Without Economic Purpose",1998,0
"Suspicious Documents or ID Presented",1998,0
"Terrorist Financing",1998,0
"Unknown/Blank",1998,0
"Wash or Other Fictitious Trading",1998,0
"Wire Fraud",1998,0
"Bribery/Gratuity",1999,0
"Check Fraud",1999,0
"Computer Intrusion",1999,0
"Credit/Debit Card Fraud",1999,0
"Embezzlement/Theft",1999,0
"Forgery",1999,0
"Futures Fraud",1999,0
"Identity Theft",1999,0
"Insider Trading",1999,0
"Mail Fraud",1999,0
"Market Manipulation",1999,0
"Money Laundering/Structuring",1999,0
"Other",1999,0
"Prearranged or Other Non-Competitive Trading",1999,0
"Securities Fraud",1999,0
"Significant Wire or Other Transactions Without Economic Purpose",1999,0
"Suspicious Documents or ID Presented",1999,0
"Terrorist Financing",1999,0
"Unknown/Blank",1999,0
"Wash or Other Fictitious Trading",1999,0
"Wire Fraud",1999,0
"Bribery/Gratuity",2000,0
"Check Fraud",2000,0
"Computer Intrusion",2000,0
"Credit/Debit Card Fraud",2000,0
"Embezzlement/Theft",2000,0
"Forgery",2000,0
"Futures Fraud",2000,0
"Identity Theft",2000,0
