"Year.Mo","Year","Incidents"
"January","1996",0
"February","1996",0
"March","1996",0
"April","1996",0
"May","1996",0
"June","1996",0
"July","1996",0
"August","1996",0
"September","1996",0
"October","1996",0
"November","1996",0
"December","1996",0
"","1996",NA
"January","1997",0
"February","1997",0
"March","1997",0
"April","1997",0
"May","1997",0
"June","1997",0
"July","1997",0
"August","1997",0
"September","1997",0
"October","1997",0
"November","1997",0
"December","1997",0
"","1997",NA
"January","1998",0
"February","1998",0
"March","1998",0
"April","1998",0
"May","1998",0
"June","1998",0
"July","1998",0
"August","1998",0
"September","1998",0
"October","1998",0
"November","1998",0
"December","1998",0
"","1998",NA
"January","1999",0
"February","1999",0
"March","1999",0
"April","1999",0
"May","1999",0
"June","1999",0
"July","1999",0
"August","1999",0
"September","1999",0
"October","1999",0
"November","1999",0
"December","1999",0
"","1999",NA
"January","2000",0
"February","2000",0
"March","2000",0
"April","2000",0
"May","2000",0
"June","2000",0
"July","2000",0
"August","2000",0
"September","2000",0
"October","2000",0
"November","2000",0
"December","2000",0
"","2000",NA
"January","2001",0
"February","2001",0
"March","2001",0
"April","2001",0
"May","2001",0
"June","2001",0
"July","2001",0
"August","2001",0
"September","2001",0
"October","2001",0
"November","2001",0
"December","2001",0
"","2001",NA
"January","2002",0
"February","2002",0
"March","2002",0
"April","2002",0
"May","2002",0
"June","2002",0
"July","2002",0
"August","2002",0
"September","2002",0
"October","2002",0
"November","2002",0
"December","2002",0
"","2002",NA
"January","2003",138
"February","2003",248
"March","2003",356
"April","2003",313
"May","2003",496
"June","2003",381
"July","2003",407
"August","2003",390
"September","2003",288
"October","2003",481
"November","2003",380
"December","2003",389
"","2003",NA
"January","2004",446
"February","2004",339
"March","2004",456
"April","2004",613
"May","2004",345
"June","2004",413
"July","2004",468
"August","2004",480
"September","2004",609
"October","2004",445
"November","2004",540
"December","2004",551
"","2004",NA
"January","2005",380
"February","2005",494
"March","2005",552
"April","2005",562
"May","2005",637
"June","2005",680
"July","2005",580
"August","2005",540
"September","2005",708
"October","2005",530
"November","2005",545
"December","2005",728
"","2005",NA
"January","2006",541
"February","2006",574
"March","2006",743
"April","2006",631
"May","2006",657
"June","2006",767
"July","2006",570
"August","2006",769
"September","2006",634
"October","2006",703
"November","2006",761
"December","2006",779
"","2006",NA
"January","2007",760
"February","2007",823
"March","2007",1117
"April","2007",1072
"May","2007",1268
"June","2007",944
"July","2007",1024
"August","2007",1212
"September","2007",1088
"October","2007",1348
"November","2007",1264
"December","2007",961
"","2007",NA
"January","2008",1083
"February","2008",985
"March","2008",1218
"April","2008",1205
"May","2008",1408
"June","2008",1158
"July","2008",1423
"August","2008",1146
"September","2008",1117
"October","2008",1626
"November","2008",1267
"December","2008",1468
"","2008",NA
"January","2009",1457
"February","2009",1478
"March","2009",1505
"April","2009",1748
"May","2009",1354
"June","2009",1536
"July","2009",1649
"August","2009",1463
"September","2009",1361
"October","2009",1620
"November","2009",1479
"December","2009",1735
"","2009",NA
"January","2010",1389
"February","2010",1456
"March","2010",1731
"April","2010",1588
"May","2010",1415
"June","2010",1712
"July","2010",0
"August","2010",0
"September","2010",0
"October","2010",0
"November","2010",0
"December","2010",0
"","2010",NA
"January","2011",0
"February","2011",0
"March","2011",0
"April","2011",0
"May","2011",0
"June","2011",0
"July","2011",0
"August","2011",0
"September","2011",0
"October","2011",0
"November","2011",0
"December","2011",0
"","2011",NA
"January","2012",0
"February","2012",0
"March","2012",2
"April","2012",26
"May","2012",48
"June","2012",95
"July","2012",138
"August","2012",155
"September","2012",132
"October","2012",190
"November","2012",198
"December","2012",145
"","2012",NA
"January","2013",179
"February","2013",298
"March","2013",596
"April","2013",1420
"May","2013",1457
"June","2013",1396
"July","2013",1523
"August","2013",1877
"September","2013",1561
"October","2013",1911
"November","2013",1570
"December","2013",1669
"","2013",NA
"January","2014",1822
"February","2014",1614
"March","2014",1860
"April","2014",1872
"May","2014",1865
"June","2014",1896
"July","2014",1953
"August","2014",1875
"September","2014",2126
"October","2014",2246
"November","2014",1623
"December","2014",1696
"","2014",NA
