"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument","Count"
"2013","January","Nevada","Clark County, NV","Casino/Card Club - State Licensed Casino","Credit/Debit Card","IRS","Customer","Credit Card","Other",1
"2013","January","Nevada","Clark County, NV","Casino/Card Club - State Licensed Casino","Suspicious Use of Multiple Accounts","IRS","Customer","Credit Card","Other",1
"2013","January","Nevada","Clark County, NV","Casino/Card Club - State Licensed Casino","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","Customer","Credit Card","Other",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Bribery or Gratuity","IRS","Customer","Credit Card","Other",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Casinos","IRS","Customer","Credit Card","Other",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Fraud (Type)","IRS","Customer","Credit Card","Other",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Other Suspicious Activities","IRS","Customer","Credit Card","Other",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Structuring","IRS","Customer","Credit Card","Other",1
"2013","March","Michigan","Chippewa County, MI","Casino/Card Club - Tribal Authorized Casino","Other Casinos","IRS","Customer","Other","Other",1
"2013","March","Michigan","Chippewa County, MI","Casino/Card Club - Tribal Authorized Casino","Other Structuring","IRS","Customer","Other","Other",1
"2013","March","Michigan","Chippewa County, MI","Casino/Card Club - Tribal Authorized Casino","Refused or Avoided Request for Documentation","IRS","Customer","Other","Other",1
"2013","April","Iowa","Scott County, IA","Casino/Card Club - State Licensed Casino","Multiple Transactions Below Ctr Threshold","IRS","Customer","Credit Card","Other",1
"2013","April","Iowa","Scott County, IA","Casino/Card Club - State Licensed Casino","Other Identification Documentation","IRS","Customer","Credit Card","Other",1
"2013","May","Indiana","Ohio County, IN","Casino/Card Club - State Licensed Casino","Minimal Gaming with Large Transactions","IRS","Customer","Credit Card","Other",2
"2013","May","New Mexico","Bernalillo County, NM","Casino/Card Club - Tribal Authorized Casino","Minimal Gaming with Large Transactions","IRS","Customer","Credit Card","Other",1
"2013","May","New Mexico","Bernalillo County, NM","Casino/Card Club - Tribal Authorized Casino","Multiple Transactions Below Bsa Recordkeeping Threshold","IRS","Customer","Credit Card","Other",1
"2013","May","New Mexico","Bernalillo County, NM","Casino/Card Club - Tribal Authorized Casino","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","Customer","Credit Card","Other",1
"2013","May","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Minimal Gaming with Large Transactions","IRS","No Relationship to Institution","Other","Other",1
"2013","May","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Multiple Transactions Below Ctr Threshold","IRS","No Relationship to Institution","Other","Other",1
"2013","May","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Other Suspicious Activities","IRS","No Relationship to Institution","Other","Other",1
"2013","May","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Refused or Avoided Request for Documentation","IRS","No Relationship to Institution","Other","Other",1
"2013","May","Washington","King County, WA","Casino/Card Club - State Licensed Casino","Other Casinos","IRS","No Relationship to Institution","Credit Card","Other",1
"2013","July","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Account Takeover","IRS","Customer","Credit Card","Other",1
"2013","July","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","IRS","Customer","Credit Card","Other",1
"2013","July","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Identity Theft","IRS","Customer","Credit Card","Other",1
"2013","July","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Minimal Gaming with Large Transactions","IRS","Customer","Credit Card","Other",1
"2013","July","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","IRS","Customer","Credit Card","Other",1
"2013","July","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Provided Questionable or False Documentation","IRS","Customer","Credit Card","Other",1
"2013","July","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","Customer","Credit Card","Other",1
"2013","July","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Two or More Individuals Working Together","IRS","Customer","Credit Card","Other",1
"2013","August","Oklahoma","Kay County, OK","Casino/Card Club - Tribal Authorized Casino","Embezzlement/Theft/Disappearance of Funds","IRS","Customer","Other","Other",1
"2013","August","Oklahoma","Kay County, OK","Casino/Card Club - Tribal Authorized Casino","Embezzlement/Theft/Disappearance of Funds","IRS","Employee","Other","Other",1
"2013","August","Oklahoma","Kay County, OK","Casino/Card Club - Tribal Authorized Casino","Embezzlement/Theft/Disappearance of Funds","IRS","Other","Other","Other",1
"2013","August","Oklahoma","Kay County, OK","Casino/Card Club - Tribal Authorized Casino","Other Casinos","IRS","Customer","Other","Other",1
"2013","August","Oklahoma","Kay County, OK","Casino/Card Club - Tribal Authorized Casino","Other Casinos","IRS","Employee","Other","Other",1
"2013","August","Oklahoma","Kay County, OK","Casino/Card Club - Tribal Authorized Casino","Other Casinos","IRS","Other","Other","Other",1
"2013","September","Mississippi","Tunica County, MS","Casino/Card Club - State Licensed Casino","Minimal Gaming with Large Transactions","IRS","Customer","Other","Other",1
"2013","September","Mississippi","Tunica County, MS","Casino/Card Club - State Licensed Casino","Suspicious Use of Counter Checks or Markers","IRS","Customer","Other","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Fraud (Type)","IRS","Customer","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Fraud (Type)","IRS","Customer","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Fraud (Type)","IRS","Other","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Fraud (Type)","IRS","Other","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Money Laundering","IRS","Customer","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Money Laundering","IRS","Customer","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Money Laundering","IRS","Other","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Money Laundering","IRS","Other","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Other Suspicious Activities","IRS","Customer","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Other Suspicious Activities","IRS","Customer","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Other Suspicious Activities","IRS","Other","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Other Suspicious Activities","IRS","Other","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Structuring","IRS","Customer","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Structuring","IRS","Customer","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Structuring","IRS","Other","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Other Structuring","IRS","Other","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Suspicious Intra-Casino Funds Transfers","IRS","Customer","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Suspicious Intra-Casino Funds Transfers","IRS","Customer","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Suspicious Intra-Casino Funds Transfers","IRS","Other","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Suspicious Intra-Casino Funds Transfers","IRS","Other","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Suspicious Use of Informal Value Transfer System","IRS","Customer","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Suspicious Use of Informal Value Transfer System","IRS","Customer","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Suspicious Use of Informal Value Transfer System","IRS","Other","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Suspicious Use of Informal Value Transfer System","IRS","Other","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Two or More Individuals Working Together","IRS","Customer","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Two or More Individuals Working Together","IRS","Customer","Debit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Two or More Individuals Working Together","IRS","Other","Credit Card","Other",1
"2013","December","Minnesota","Washington County, MN","Casino/Card Club - Card Club","Two or More Individuals Working Together","IRS","Other","Debit Card","Other",1
"2013","February","Indiana","Harrison County, IN","Casino/Card Club - State Licensed Casino","Alters Transactions to Avoid Ctr Requirement","IRS","Agent","Credit Card","U.S. Currency",1
"2013","February","Indiana","Harrison County, IN","Casino/Card Club - State Licensed Casino","Alters Transactions to Avoid Ctr Requirement","IRS","Customer","Credit Card","U.S. Currency",1
"2013","February","Indiana","Harrison County, IN","Casino/Card Club - State Licensed Casino","Single Individual with Multiple Identities","IRS","Customer","Credit Card","U.S. Currency",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Bribery or Gratuity","IRS","Customer","Credit Card","Gaming Instruments",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Bribery or Gratuity","IRS","Customer","Credit Card","U.S. Currency",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Casinos","IRS","Customer","Credit Card","Gaming Instruments",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Casinos","IRS","Customer","Credit Card","U.S. Currency",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Fraud (Type)","IRS","Customer","Credit Card","Gaming Instruments",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Fraud (Type)","IRS","Customer","Credit Card","U.S. Currency",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Other Suspicious Activities","IRS","Customer","Credit Card","Gaming Instruments",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Other Suspicious Activities","IRS","Customer","Credit Card","U.S. Currency",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Structuring","IRS","Customer","Credit Card","Gaming Instruments",1
"2013","February","Puerto Rico","Carolina Municipio, PR","Casino/Card Club - State Licensed Casino","Other Structuring","IRS","Customer","Credit Card","U.S. Currency",1
"2013","March","Illinois","Cook County, IL","Casino/Card Club - State Licensed Casino","Other Casinos","IRS","Customer","Other","U.S. Currency",1
"2013","March","West Virginia","Ohio County, WV","Casino/Card Club - State Licensed Casino","Multiple Transactions Below Ctr Threshold","IRS","Customer","Other","Gaming Instruments",1
