Year Month,State,Countym,Industry,Suspicious Activity,Regulator,Relationship,Product,Instrument,Count
2012 March,Illinois,"Kendall County, IL",Depository Institution,Other Money Laundering,FDIC,No Relationship to Institution,Other,U.S. Currency,1
2012 March,Massachusetts,"Essex County, MA",Depository Institution,"Transaction with No Apparent Economic, Business, or Lawful Purpose",FDIC,Customer,Debit Card,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Bribery or Gratuity,FDIC,Customer,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Bribery or Gratuity,FDIC,No Relationship to Institution,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Consumer Loan,FDIC,Customer,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Consumer Loan,FDIC,No Relationship to Institution,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Other Identification Documentation,FDIC,Customer,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Other Identification Documentation,FDIC,No Relationship to Institution,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Other Mortgage Fraud,FDIC,Customer,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Other Mortgage Fraud,FDIC,No Relationship to Institution,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Refused or Avoided Request for Documentation,FDIC,Customer,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Refused or Avoided Request for Documentation,FDIC,No Relationship to Institution,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Suspicious Concerning the Physical Condition of Funds,FDIC,Customer,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Suspicious Concerning the Physical Condition of Funds,FDIC,No Relationship to Institution,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Suspicious Concerning the Source of Funds,FDIC,Customer,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Suspicious Concerning the Source of Funds,FDIC,No Relationship to Institution,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,"Transaction with No Apparent Economic, Business, or Lawful Purpose",FDIC,Customer,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,"Transaction with No Apparent Economic, Business, or Lawful Purpose",FDIC,No Relationship to Institution,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Two or More Individuals Working Together,FDIC,Customer,Residential Mortgage,U.S. Currency,1
2012 March,Ohio,"Carroll County, OH",Depository Institution,Two or More Individuals Working Together,FDIC,No Relationship to Institution,Residential Mortgage,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Borrower,Credit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Borrower,Credit Card,Personal/Business Check,1
