"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument","Count"
"2013","January","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other","1"
"2013","January","New York","New York County, NY","Insurance Company","Suspicious EFT/Wire Transfers","IRS","Customer","Insurance/Annuity Products","Other","1"
"2013","February","New York","New York County, NY","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Customer","Insurance/Annuity Products","Other","2"
"2013","February","New York","New York County, NY","Insurance Company","Other Insurance","IRS","Other","Insurance/Annuity Products","Other","1"
"2013","February","New York","New York County, NY","Insurance Company","Other Money Laundering","IRS","Customer","Insurance/Annuity Products","Other","1"
"2013","February","New York","New York County, NY","Insurance Company","Other Structuring","IRS","Customer","Insurance/Annuity Products","Other","2"
"2013","February","New York","New York County, NY","Insurance Company","Other Structuring","IRS","Other","Insurance/Annuity Products","Other","1"
"2013","February","New York","New York County, NY","Insurance Company","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","Other","Insurance/Annuity Products","Other","1"
"2013","March","Massachusetts","Suffolk County, MA","Insurance Company","Mail","IRS","Customer","Insurance/Annuity Products","Other","1"
"2013","March","Massachusetts","Suffolk County, MA","Insurance Company","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","Customer","Insurance/Annuity Products","Other","1"
"2013","March","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other","1"
"2013","March","New York","New York County, NY","Insurance Company","Suspicious EFT/Wire Transfers","IRS","Customer","Insurance/Annuity Products","Other","1"
"2013","March","New York","New York County, NY","Insurance Company","Suspicious Use of Multiple Accounts","IRS","Customer","Insurance/Annuity Products","Other","1"
"2013","April","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other","1"
"2013","April","New York","New York County, NY","Insurance Company","Suspicious EFT/Wire Transfers","IRS","Customer","Insurance/Annuity Products","Other","1"
