"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument"
"2015","January","New York","New York County, NY","Insurance Company","Proceeds Sent to Unrelated Third Party","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2015","January","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2015","February","California","Orange County, CA","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other"
"2015","February","Nebraska","Douglas County, NE","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Customer","Insurance/Annuity Products","Other"
"2015","February","Nebraska","Douglas County, NE","Insurance Company","Other Fraud (Type)","IRS","Customer","Insurance/Annuity Products","Other"
"2015","February","Nebraska","Douglas County, NE","Insurance Company","Other Other Suspicious Activities","IRS","Customer","Insurance/Annuity Products","Other"
"2015","February","New York","New York County, NY","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Customer","Insurance/Annuity Products","Other"
"2015","February","New York","New York County, NY","Insurance Company","Proceeds Sent to Unrelated Third Party","IRS","Customer","Insurance/Annuity Products","Other"
"2015","February","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other"
"2015","February","New York","New York County, NY","Insurance Company","Suspicious EFT/Wire Transfers","IRS","Customer","Insurance/Annuity Products","Other"
"2015","February","Ohio","Hamilton County, OH","Insurance Company","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2015","February","Ohio","Hamilton County, OH","Insurance Company","Other Insurance","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2015","February","Ohio","Hamilton County, OH","Insurance Company","Suspicious Concerning the Source of Funds","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2015","February","Ohio","Hamilton County, OH","Insurance Company","Transaction Out of Pattern for Customer(s)","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2015","March","Pennsylvania","Chester County, PA","Insurance Company","Other Structuring","IRS","Customer","Insurance/Annuity Products","Other"
"2015","March","Puerto Rico","San Juan Municipio, PR","Insurance Company","Other Other Suspicious Activities","IRS","Customer","Insurance/Annuity Products","Other"
"2015","April","New Jersey","Essex County, NJ","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other"
"2015","April","South Dakota","Lincoln County, SD","Insurance Company","Other Money Laundering","OCC","Customer","Prepaid Access","Other"
"2015","April","South Dakota","Lincoln County, SD","Insurance Company","Suspicious Concerning the Source of Funds","OCC","Customer","Prepaid Access","Other"
"2015","May","New Jersey","Essex County, NJ","Insurance Company","Other Fraud (Type)","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Other Fraud (Type)","IRS","Agent","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Other Fraud (Type)","IRS","Customer","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Other Money Laundering","IRS","Agent","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Other Money Laundering","IRS","Customer","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Proceeds Sent to Unrelated Third Party","IRS","Agent","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Proceeds Sent to Unrelated Third Party","IRS","Customer","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Agent","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Suspicious Use of Multiple Accounts","IRS","Agent","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Suspicious Use of Multiple Accounts","IRS","Customer","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Suspicious Use of Multiple Locations","IRS","Customer","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","IRS","Agent","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","IRS","Customer","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Two or More Individuals Working Together","IRS","Agent","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Two or More Individuals Working Together","IRS","Customer","Insurance/Annuity Products","Other"
"2015","May","New York","New York County, NY","Insurance Company","Unclear or No Insurable Interest","IRS","Agent","Insurance/Annuity Products","Other"
