"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument","Count"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","ACH","IRS","Customer","Prepaid Access","Other","2"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","ACH","IRS","No Relationship to Institution","Prepaid Access","Other","1"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Multiple Transactions Below Bsa Recordkeeping Threshold","IRS","Customer","Prepaid Access","Other","1"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Multiple Transactions Below Ctr Threshold","IRS","Customer","Prepaid Access","Other","3"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Other Fraud (Type)","IRS","Customer","Prepaid Access","Other","1"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Other Money Laundering","IRS","Customer","Prepaid Access","Other","3"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Other Other Suspicious Activities","IRS","Customer","Prepaid Access","Other","2"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Other Other Suspicious Activities","IRS","No Relationship to Institution","Prepaid Access","Other","1"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Suspicious Concerning the Source of Funds","IRS","Customer","Prepaid Access","Other","10"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Suspicious Concerning the Source of Funds","IRS","No Relationship to Institution","Prepaid Access","Other","1"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Suspicious Use of Multiple Locations","IRS","Customer","Prepaid Access","Other","17"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Suspicious Use of Third-Party Transactors (Straw-Man)","IRS","Customer","Prepaid Access","Other","2"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","Customer","Prepaid Access","Other","19"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Two or More Individuals Working Together","IRS","Customer","Prepaid Access","Other","9"
"2012","April","Alabama","Jefferson County, AL","Money Services Business (MSB)","Two or More Individuals Working Together","IRS","No Relationship to Institution","Prepaid Access","Other","1"
"2012","April","California","Alameda County, CA","Money Services Business (MSB)","ACH","IRS","Customer","Prepaid Access","Other","1"
"2012","April","California","Alameda County, CA","Money Services Business (MSB)","Alters Transaction to Avoid Bsa Recordkeeping Requirement","IRS","Customer","Prepaid Access","Other","1"
"2012","April","California","Alameda County, CA","Money Services Business (MSB)","Other Other Suspicious Activities","IRS","Customer","Prepaid Access","Other","1"
