"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument","Count"
"2013","January","Colorado","Arapahoe County, CO","Other","Other Fraud (Type)","Not Applicable","Borrower","Residential Mortgage","Other","2"
"2013","January","Colorado","Arapahoe County, CO","Other","Other Mortgage Fraud","Not Applicable","Borrower","Residential Mortgage","Other","2"
"2013","January","Colorado","Arapahoe County, CO","Other","Other Other Suspicious Activities","Not Applicable","Borrower","Residential Mortgage","Other","2"
"2013","January","Colorado","Arapahoe County, CO","Other","Provided Questionable or False Documentation","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","February","New York","Albany County, NY","Other","Other Mortgage Fraud","Not Applicable","Customer","Residential Mortgage","Other","1"
"2013","March","Florida","Broward County, FL","Other","Credit/Debit Card","Not Applicable","Customer","Credit Card","Other","1"
"2013","March","Florida","Broward County, FL","Other","Credit/Debit Card","Not Applicable","Customer","Other","Other","1"
"2013","March","Florida","Broward County, FL","Other","Credit/Debit Card","Not Applicable","Other","Credit Card","Other","1"
"2013","March","Florida","Broward County, FL","Other","Credit/Debit Card","Not Applicable","Other","Other","Other","1"
"2013","March","Florida","Broward County, FL","Other","Identity Theft","Not Applicable","Customer","Credit Card","Other","1"
"2013","March","Florida","Broward County, FL","Other","Identity Theft","Not Applicable","Customer","Other","Other","1"
"2013","March","Florida","Broward County, FL","Other","Identity Theft","Not Applicable","Other","Credit Card","Other","1"
"2013","March","Florida","Broward County, FL","Other","Identity Theft","Not Applicable","Other","Other","Other","1"
"2013","March","Florida","Broward County, FL","Other","Suspicious Concerning the Source of Funds","Not Applicable","Customer","Credit Card","Other","1"
"2013","March","Florida","Broward County, FL","Other","Suspicious Concerning the Source of Funds","Not Applicable","Customer","Other","Other","1"
"2013","March","Florida","Broward County, FL","Other","Suspicious Concerning the Source of Funds","Not Applicable","Other","Credit Card","Other","1"
"2013","March","Florida","Broward County, FL","Other","Suspicious Concerning the Source of Funds","Not Applicable","Other","Other","Other","1"
"2013","April","California","Orange County, CA","Other","Consumer Loan","Not Applicable","Employee","Residential Mortgage","Other","1"
"2013","April","California","Orange County, CA","Other","Other Mortgage Fraud","Not Applicable","Employee","Residential Mortgage","Other","1"
"2013","April","California","Orange County, CA","Other","Provided Questionable or False Documentation","Not Applicable","Employee","Residential Mortgage","Other","1"
"2013","April","California","San Francisco County, CA","Other","Other Fraud (Type)","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","April","California","San Francisco County, CA","Other","Other Mortgage Fraud","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","April","California","San Francisco County, CA","Other","Provided Questionable or False Documentation","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","California","Riverside County, CA","Other","Other Fraud (Type)","Not Applicable","Agent","Residential Mortgage","Other","1"
"2013","May","California","Riverside County, CA","Other","Other Fraud (Type)","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","California","Riverside County, CA","Other","Other Mortgage Fraud","Not Applicable","Agent","Residential Mortgage","Other","1"
"2013","May","California","Riverside County, CA","Other","Other Mortgage Fraud","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","California","Riverside County, CA","Other","Provided Questionable or False Documentation","Not Applicable","Agent","Residential Mortgage","Other","1"
"2013","May","California","Riverside County, CA","Other","Provided Questionable or False Documentation","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","California","Riverside County, CA","Other","Two or More Individuals Working Together","Not Applicable","Agent","Residential Mortgage","Other","1"
"2013","May","California","Riverside County, CA","Other","Two or More Individuals Working Together","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","Colorado","Arapahoe County, CO","Other","Changes Spelling or Arrangement of Name","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","Colorado","Arapahoe County, CO","Other","Counterfeit Instrument (Other)","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","Colorado","Arapahoe County, CO","Other","Other Fraud (Type)","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","Colorado","Arapahoe County, CO","Other","Other Mortgage Fraud","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","New York","Nassau County, NY","Other","Counterfeit Instrument (Other)","Not Applicable","Other","Residential Mortgage","Other","1"
"2013","May","New York","Nassau County, NY","Other","Forgeries","Not Applicable","Other","Residential Mortgage","Other","1"
"2013","May","New York","Nassau County, NY","Other","Other Fraud (Type)","Not Applicable","Other","Residential Mortgage","Other","1"
"2013","May","New York","Nassau County, NY","Other","Other Mortgage Fraud","Not Applicable","Other","Residential Mortgage","Other","1"
"2013","May","New York","Nassau County, NY","Other","Other Structuring","Not Applicable","Other","Residential Mortgage","Other","1"
"2013","May","New York","Nassau County, NY","Other","Provided Questionable or False Documentation","Not Applicable","Other","Residential Mortgage","Other","1"
"2013","May","Puerto Rico","San Juan Municipio, PR","Other","Other Fraud (Type)","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","Puerto Rico","San Juan Municipio, PR","Other","Other Mortgage Fraud","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","Puerto Rico","San Juan Municipio, PR","Other","Other Structuring","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","Puerto Rico","San Juan Municipio, PR","Other","Refused or Avoided Request for Documentation","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","Puerto Rico","San Juan Municipio, PR","Other","Suspicious Concerning the Source of Funds","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","May","Puerto Rico","San Juan Municipio, PR","Other","Suspicious Use of Third-Party Transactors (Straw-Man)","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","June","Alabama","Mobile County, AL","Other","Other Fraud (Type)","Not Applicable","Customer","Residential Mortgage","Other","1"
"2013","June","Alabama","Mobile County, AL","Other","Other Mortgage Fraud","Not Applicable","Customer","Residential Mortgage","Other","1"
"2013","July","Florida","Broward County, FL","Other","Other Other Suspicious Activities","Not Applicable","Customer","Credit Card","Other","1"
"2013","July","Florida","Broward County, FL","Other","Transaction with No Apparent Economic, Business, or Lawful Purpose","Not Applicable","Customer","Credit Card","Other","1"
"2013","July","Washington","King County, WA","Other","ACH","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","July","Washington","King County, WA","Other","ACH","Not Applicable","No Relationship to Institution","Residential Mortgage","Other","1"
"2013","July","Washington","King County, WA","Other","ACH","Not Applicable","Other","Residential Mortgage","Other","1"
"2013","July","Washington","King County, WA","Other","Multiple Transactions Below Ctr Threshold","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","July","Washington","King County, WA","Other","Multiple Transactions Below Ctr Threshold","Not Applicable","No Relationship to Institution","Residential Mortgage","Other","1"
"2013","July","Washington","King County, WA","Other","Multiple Transactions Below Ctr Threshold","Not Applicable","Other","Residential Mortgage","Other","1"
"2013","July","Washington","King County, WA","Other","Other Mortgage Fraud","Not Applicable","Borrower","Residential Mortgage","Other","1"
"2013","July","Washington","King County, WA","Other","Other Mortgage Fraud","Not Applicable","No Relationship to Institution","Residential Mortgage","Other","1"
"2013","July","Washington","King County, WA","Other","Other Mortgage Fraud","Not Applicable","Other","Residential Mortgage","Other","1"
"2013","July","Washington","King County, WA","Other","Other Other Suspicious Activities","Not Applicable","Borrower","Residential Mortgage","Other","1"
