"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument"
"2014","April","Ohio","Cuyahoga County, OH","Other","Counterfeit Instrument (Other)","Not Applicable","Customer","Bonds/Notes","Other"
"2014","April","Ohio","Cuyahoga County, OH","Other","Forgeries","Not Applicable","Customer","Bonds/Notes","Other"
"2014","April","Ohio","Cuyahoga County, OH","Other","Provided Questionable or False Documentation","Not Applicable","Customer","Bonds/Notes","Other"
"2014","April","Ohio","Cuyahoga County, OH","Other","Refused or Avoided Request for Documentation","Not Applicable","Customer","Bonds/Notes","Other"
"2014","April","Ohio","Cuyahoga County, OH","Other","Suspicious Use of Informal Value Transfer System","Not Applicable","Customer","Bonds/Notes","Other"
"2014","September","Colorado","Arapahoe County, CO","Other","ACH","Not Applicable","No Relationship to Institution","Prepaid Access","Other"
"2014","September","Colorado","Arapahoe County, CO","Other","Embezzlement/Theft/Disappearance of Funds","Not Applicable","No Relationship to Institution","Prepaid Access","Other"
"2014","September","Rhode Island","Newport County, RI","Other","Other Mortgage Fraud","Not Applicable","Borrower","Residential Mortgage","Other"
"2014","September","Rhode Island","Newport County, RI","Other","Other Mortgage Fraud","Not Applicable","Other","Residential Mortgage","Other"
"2014","September","Rhode Island","Newport County, RI","Other","Suspicious Concerning the Source of Funds","Not Applicable","Borrower","Residential Mortgage","Other"
"2014","September","Rhode Island","Newport County, RI","Other","Suspicious Concerning the Source of Funds","Not Applicable","Other","Residential Mortgage","Other"
"2014","September","Rhode Island","Newport County, RI","Other","Suspicious EFT/Wire Transfers","Not Applicable","Borrower","Residential Mortgage","Other"
"2014","September","Rhode Island","Newport County, RI","Other","Suspicious EFT/Wire Transfers","Not Applicable","Other","Residential Mortgage","Other"
"2014","September","Rhode Island","Newport County, RI","Other","Transaction Out of Pattern for Customer(s)","Not Applicable","Borrower","Residential Mortgage","Other"
"2014","September","Rhode Island","Newport County, RI","Other","Transaction Out of Pattern for Customer(s)","Not Applicable","Other","Residential Mortgage","Other"
"2014","September","Rhode Island","Newport County, RI","Other","Two or More Individuals Working Together","Not Applicable","Borrower","Residential Mortgage","Other"
"2014","September","Rhode Island","Newport County, RI","Other","Two or More Individuals Working Together","Not Applicable","Other","Residential Mortgage","Other"
"2014","October","Georgia","Fulton County, GA","Other","Other Identification Documentation","Not Applicable","Customer","Other","Other"
"2014","October","Massachusetts","Nantucket County, MA","Other","Other Casinos","Not Applicable","Other","Other","Other"
"2014","October","Massachusetts","Nantucket County, MA","Other","Other Fraud (Type)","Not Applicable","Other","Other","Other"
"2014","October","Massachusetts","Nantucket County, MA","Other","Other Identification Documentation","Not Applicable","Other","Other","Other"
"2014","October","Massachusetts","Nantucket County, MA","Other","Other Money Laundering","Not Applicable","Other","Other","Other"
"2014","October","Massachusetts","Nantucket County, MA","Other","Other Mortgage Fraud","Not Applicable","Other","Other","Other"
"2014","October","Massachusetts","Nantucket County, MA","Other","Other Other Suspicious Activities","Not Applicable","Other","Other","Other"
"2014","October","Massachusetts","Nantucket County, MA","Other","Other Structuring","Not Applicable","Other","Other","Other"
"2014","October","Massachusetts","Nantucket County, MA","Other","Other Terrorist","Not Applicable","Other","Other","Other"
"2014","November","Ohio","Cuyahoga County, OH","Other","Other Other Suspicious Activities","Not Applicable","No Relationship to Institution","Bonds/Notes","Other"
"2014","December","Mississippi","Madison County, MS","Other","Other Identification Documentation","Not Applicable","Other","Other","Other"
"2014","December","Mississippi","Madison County, MS","Other","Other Other Suspicious Activities","Not Applicable","Other","Other","Other"
"2014","December","Mississippi","Madison County, MS","Other","Wire Transfer","Not Applicable","Other","Other","Other"
"2014","December","New York","Queens County, NY","Other","Alters Transaction to Avoid Bsa Recordkeeping Requirement","Not Applicable","No Relationship to Institution","Other","Other"
"2014","December","New York","Queens County, NY","Other","Multiple Transactions Below Bsa Recordkeeping Threshold","Not Applicable","No Relationship to Institution","Other","Other"
"2014","December","New York","Queens County, NY","Other","Refused or Avoided Request for Documentation","Not Applicable","No Relationship to Institution","Other","Other"
"2014","December","New York","Queens County, NY","Other","Suspicious Designation of Beneficiaries, Assignees or Joint Owners","Not Applicable","No Relationship to Institution","Other","Other"
"2014","December","New York","Queens County, NY","Other","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","Not Applicable","No Relationship to Institution","Other","Other"
"2014","December","New York","Queens County, NY","Other","Two or More Individuals Working Together","Not Applicable","No Relationship to Institution","Other","Other"
"2014","January","Missouri","St. Louis County, MO","Other","Other Other Suspicious Activities","FRB","Borrower","Commercial Mortgage","Other"
"2014","January","Missouri","St. Louis County, MO","Other","Suspicious Use of Multiple Accounts","FRB","Borrower","Commercial Mortgage","Other"
"2014","January","Tennessee","Blount County, TN","Other","Other Money Laundering","IRS","Borrower","Residential Mortgage","Other"
"2014","January","Tennessee","Blount County, TN","Other","Other Money Laundering","IRS","Customer","Residential Mortgage","Other"
"2014","January","Tennessee","Blount County, TN","Other","Other Other Suspicious Activities","IRS","Borrower","Residential Mortgage","Other"
"2014","January","Tennessee","Blount County, TN","Other","Other Other Suspicious Activities","IRS","Customer","Residential Mortgage","Other"
"2014","January","Tennessee","Blount County, TN","Other","Suspicious Concerning the Source of Funds","IRS","Borrower","Residential Mortgage","Other"
"2014","January","Tennessee","Blount County, TN","Other","Suspicious Concerning the Source of Funds","IRS","Customer","Residential Mortgage","Other"
"2014","January","Tennessee","Blount County, TN","Other","Transaction Out of Pattern for Customer(s)","IRS","Borrower","Residential Mortgage","Other"
"2014","January","Tennessee","Blount County, TN","Other","Transaction Out of Pattern for Customer(s)","IRS","Customer","Residential Mortgage","Other"
"2014","January","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Borrower","Residential Mortgage","Other"
"2014","January","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Customer","Residential Mortgage","Other"
"2014","January","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Other","Residential Mortgage","Other"
"2014","February","Georgia","Fulton County, GA","Other","Multiple Transactions Below Bsa Recordkeeping Threshold","FRB","Customer","Debit Card","Other"
"2014","February","Georgia","Fulton County, GA","Other","Multiple Transactions Below Bsa Recordkeeping Threshold","FRB","Customer","Prepaid Access","Other"
"2014","February","Georgia","Fulton County, GA","Other","Other Money Laundering","FRB","Customer","Debit Card","Other"
"2014","February","Georgia","Fulton County, GA","Other","Other Money Laundering","FRB","Customer","Prepaid Access","Other"
"2014","February","Georgia","Fulton County, GA","Other","Suspicious Concerning the Source of Funds","FRB","Customer","Debit Card","Other"
"2014","February","Georgia","Fulton County, GA","Other","Suspicious Concerning the Source of Funds","FRB","Customer","Prepaid Access","Other"
"2014","February","Indiana","Marion County, IN","Other","Other Fraud (Type)","OCC","Borrower","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Other Fraud (Type)","OCC","Customer","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Other Money Laundering","OCC","Borrower","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Other Money Laundering","OCC","Customer","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Other Mortgage Fraud","OCC","Borrower","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Other Mortgage Fraud","OCC","Customer","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Other Other Suspicious Activities","OCC","Borrower","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Other Other Suspicious Activities","OCC","Customer","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Other Structuring","OCC","Borrower","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Other Structuring","OCC","Customer","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Provided Questionable or False Documentation","OCC","Borrower","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Provided Questionable or False Documentation","OCC","Customer","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Two or More Individuals Working Together","OCC","Borrower","Other","Other"
"2014","February","Indiana","Marion County, IN","Other","Two or More Individuals Working Together","OCC","Customer","Other","Other"
"2014","February","New York","New York County, NY","Other","Business Loan","FRB","No Relationship to Institution","Other","Other"
"2014","February","New York","New York County, NY","Other","Other Fraud (Type)","FRB","No Relationship to Institution","Other","Other"
"2014","February","New York","New York County, NY","Other","Other Other Suspicious Activities","FRB","No Relationship to Institution","Other","Other"
"2014","February","New York","New York County, NY","Other","Transaction with No Apparent Economic, Business, or Lawful Purpose","FRB","No Relationship to Institution","Other","Other"
"2014","February","Tennessee","Blount County, TN","Other","Suspicious Concerning the Source of Funds","IRS","Borrower","Residential Mortgage","Other"
"2014","February","Tennessee","Blount County, TN","Other","Suspicious Concerning the Source of Funds","IRS","Customer","Residential Mortgage","Other"
"2014","February","Tennessee","Blount County, TN","Other","Transaction Out of Pattern for Customer(s)","IRS","Borrower","Residential Mortgage","Other"
"2014","February","Tennessee","Blount County, TN","Other","Transaction Out of Pattern for Customer(s)","IRS","Customer","Residential Mortgage","Other"
"2014","February","Virginia","Alexandria city, VA","Other","Credit/Debit Card","NCUA","Customer","Debit Card","Other"
"2014","February","Virginia","Alexandria city, VA","Other","Other Fraud (Type)","NCUA","Customer","Debit Card","Other"
"2014","February","Virginia","Alexandria city, VA","Other","Unauthorized Electronic Intrusion","NCUA","Customer","Debit Card","Other"
"2014","February","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Borrower","Residential Mortgage","Other"
"2014","February","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Customer","Residential Mortgage","Other"
"2014","February","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Other","Residential Mortgage","Other"
"2014","March","Florida","Polk County, FL","Other","Foreclosure Fraud","IRS","Other","Other","Other"
"2014","March","Florida","Polk County, FL","Other","Other Fraud (Type)","IRS","Other","Other","Other"
"2014","March","Florida","Polk County, FL","Other","Other Mortgage Fraud","IRS","Other","Other","Other"
"2014","March","Michigan","Oakland County, MI","Other","Account Takeover","OCC","No Relationship to Institution","Other","Other"
"2014","March","Michigan","Oakland County, MI","Other","Wire Transfer","OCC","No Relationship to Institution","Other","Other"
"2014","March","Tennessee","Blount County, TN","Other","Suspicious Concerning the Source of Funds","IRS","Borrower","Residential Mortgage","Other"
"2014","March","Tennessee","Blount County, TN","Other","Suspicious Concerning the Source of Funds","IRS","Customer","Residential Mortgage","Other"
"2014","March","Tennessee","Blount County, TN","Other","Transaction Out of Pattern for Customer(s)","IRS","Borrower","Residential Mortgage","Other"
"2014","March","Tennessee","Blount County, TN","Other","Transaction Out of Pattern for Customer(s)","IRS","Customer","Residential Mortgage","Other"
"2014","March","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Borrower","Other","Other"
"2014","March","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Borrower","Residential Mortgage","Other"
"2014","March","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Customer","Other","Other"
"2014","March","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Customer","Residential Mortgage","Other"
"2014","March","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","No Relationship to Institution","Residential Mortgage","Other"
"2014","March","Virginia","Richmond city, VA","Other","Other Mortgage Fraud","FRB","Other","Residential Mortgage","Other"
"2014","April","Georgia","Fulton County, GA","Other","Other Other Suspicious Activities","FRB","Customer","Credit Card","Other"
"2014","April","Georgia","Fulton County, GA","Other","Other Other Suspicious Activities","FRB","Employee","Credit Card","Other"
"2014","April","Tennessee","Blount County, TN","Other","ACH","IRS","Borrower","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","ACH","IRS","Customer","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","Forgeries","IRS","Borrower","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","Forgeries","IRS","Customer","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","Other Money Laundering","IRS","Borrower","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","Other Money Laundering","IRS","Customer","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","Provided Questionable or False Documentation","IRS","Borrower","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","Provided Questionable or False Documentation","IRS","Customer","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","Suspicious Concerning the Source of Funds","IRS","Borrower","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","Suspicious Concerning the Source of Funds","IRS","Customer","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","Transaction Out of Pattern for Customer(s)","IRS","Borrower","Residential Mortgage","Other"
"2014","April","Tennessee","Blount County, TN","Other","Transaction Out of Pattern for Customer(s)","IRS","Customer","Residential Mortgage","Other"
"2014","April","Tennessee","Williamson County, TN","Other","Consumer Loan","IRS","Borrower","Residential Mortgage","Other"
"2014","April","Tennessee","Williamson County, TN","Other","Multiple Transactions Below Bsa Recordkeeping Threshold","IRS","Borrower","Residential Mortgage","Other"
"2014","April","Texas","Harris County, TX","Other","Other Fraud (Type)","OCC","Borrower","Residential Mortgage","Other"
"2014","April","Texas","Harris County, TX","Other","Other Mortgage Fraud","OCC","Borrower","Residential Mortgage","Other"
"2014","April","Texas","Harris County, TX","Other","Other Structuring","OCC","Borrower","Residential Mortgage","Other"
"2014","April","Virginia","Richmond city, VA","Other","Credit/Debit Card","FRB","Customer","Credit Card","Other"
