"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument"
"2013","February","California","Los Angeles County, CA","Securities/Futures","Elder Financial Exploitation","SEC","Employee","Stocks","Other"
"2013","February","California","Los Angeles County, CA","Securities/Futures","Embezzlement/Theft/Disappearance of Funds","SEC","Employee","Stocks","Other"
"2013","February","California","Los Angeles County, CA","Securities/Futures","Misuse of Position or Self-Dealing","SEC","Employee","Stocks","Other"
"2013","February","California","Los Angeles County, CA","Securities/Futures","Other Fraud (Type)","SEC","Employee","Stocks","Other"
"2013","February","Florida","Miami-Dade County, FL","Securities/Futures","Multiple Transactions Below Bsa Recordkeeping Threshold","SEC","Customer","Debit Card","Other"
"2013","February","Florida","Miami-Dade County, FL","Securities/Futures","Multiple Transactions Below Ctr Threshold","SEC","Customer","Debit Card","Other"
"2013","February","Florida","Miami-Dade County, FL","Securities/Futures","Refused or Avoided Request for Documentation","SEC","Customer","Debit Card","Other"
"2013","February","New Jersey","Middlesex County, NJ","Securities/Futures","Identity Theft","SEC","No Relationship to Institution","Mutual Fund","Other"
"2013","February","New Jersey","Middlesex County, NJ","Securities/Futures","Other Fraud (Type)","SEC","No Relationship to Institution","Mutual Fund","Other"
"2013","February","New York","New York County, NY","Securities/Futures","Identity Theft","SEC","Other","Mutual Fund","Other"
"2013","February","New York","New York County, NY","Securities/Futures","Other Fraud (Type)","SEC","Other","Mutual Fund","Other"
"2013","February","New York","New York County, NY","Securities/Futures","Other Other Suspicious Activities","SEC","Other","Mutual Fund","Other"
"2013","March","Colorado","Arapahoe County, CO","Securities/Futures","Identity Theft","SEC","Customer","Other","Other"
"2013","March","Colorado","Arapahoe County, CO","Securities/Futures","Provided Questionable or False Documentation","SEC","Customer","Other","Other"
"2013","March","Nebraska","Douglas County, NE","Securities/Futures","ACH","SEC","No Relationship to Institution","Stocks","Other"
"2013","March","Nebraska","Douglas County, NE","Securities/Futures","Identity Theft","SEC","No Relationship to Institution","Stocks","Other"
"2013","March","New York","New York County, NY","Securities/Futures","Forgeries","SEC","No Relationship to Institution","Mutual Fund","Other"
"2013","March","New York","New York County, NY","Securities/Futures","Identity Theft","SEC","No Relationship to Institution","Mutual Fund","Other"
"2013","March","New York","New York County, NY","Securities/Futures","Other Other Suspicious Activities","SEC","No Relationship to Institution","Mutual Fund","Other"
"2013","March","New York","Putnam County, NY","Securities/Futures","Other Money Laundering","SEC","No Relationship to Institution","Penny Stocks/Microcap Securities","Other"
"2013","April","Missouri","Scott County, MO","Securities/Futures","Embezzlement/Theft/Disappearance of Funds","SEC","Employee","Mutual Fund","Other"
