"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument","Count"
"2014","January","California","San Francisco County, CA","Securities/Futures","Elder Financial Exploitation","FRB","Customer","Bonds/Notes","Other","1"
"2014","January","California","San Francisco County, CA","Securities/Futures","Elder Financial Exploitation","FRB","Customer","Insurance/Annuity Products","Other","1"
"2014","January","California","San Francisco County, CA","Securities/Futures","Elder Financial Exploitation","FRB","Customer","Mutual Fund","Other","1"
"2014","January","California","San Francisco County, CA","Securities/Futures","Elder Financial Exploitation","FRB","Customer","Stocks","Other","1"
"2014","January","Minnesota","Hennepin County, MN","Securities/Futures","Market Manipulation/Wash Trading","SEC","No Relationship to Institution","Penny Stocks/Microcap Securities","Other","1"
"2014","January","Minnesota","Hennepin County, MN","Securities/Futures","Other Securities/Futures/Options","SEC","No Relationship to Institution","Penny Stocks/Microcap Securities","Other","1"
"2014","January","Missouri","St. Louis city, MO","Securities/Futures","Other Securities/Futures/Options","OCC","No Relationship to Institution","Security Futures Products","Other","1"
"2014","January","Missouri","St. Louis city, MO","Securities/Futures","Provided Questionable or False Documentation","OCC","No Relationship to Institution","Security Futures Products","Other","1"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","ACH","SEC","Customer","Debit Card","Other","2"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","ACH","SEC","Customer","Stocks","Other","1"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Changes Spelling or Arrangement of Name","SEC","Customer","Debit Card","Other","1"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Changes Spelling or Arrangement of Name","SEC","Customer","Stocks","Other","1"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Check","SEC","Customer","Debit Card","Other","2"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Check","SEC","Customer","Stocks","Other","1"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Credit/Debit Card","SEC","Customer","Debit Card","Other","3"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Credit/Debit Card","SEC","Customer","Stocks","Other","1"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Identity Theft","SEC","Customer","Debit Card","Other","1"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Other Fraud (Type)","SEC","Customer","Debit Card","Other","3"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Other Fraud (Type)","SEC","Customer","Stocks","Other","1"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Provided Questionable or False Documentation","SEC","Customer","Debit Card","Other","1"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Suspicious Use of Multiple Accounts","SEC","Customer","Debit Card","Other","2"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Suspicious Use of Multiple Accounts","SEC","Customer","Stocks","Other","1"
"2014","January","Nebraska","Douglas County, NE","Securities/Futures","Two or More Individuals Working Together","SEC","Customer","Debit Card","Other","1"
"2014","January","New Jersey","Burlington County, NJ","Securities/Futures","Embezzlement/Theft/Disappearance of Funds","SEC","No Relationship to Institution","Other","Other","1"
"2014","January","New Jersey","Burlington County, NJ","Securities/Futures","Forgeries","SEC","No Relationship to Institution","Other","Other","1"
"2014","January","New Jersey","Burlington County, NJ","Securities/Futures","Identity Theft","SEC","No Relationship to Institution","Other","Other","1"
"2014","January","New Jersey","Burlington County, NJ","Securities/Futures","Other Fraud (Type)","SEC","No Relationship to Institution","Other","Other","1"
"2014","January","New Jersey","Burlington County, NJ","Securities/Futures","Unauthorized Electronic Intrusion","SEC","No Relationship to Institution","Other","Other","1"
"2014","January","New York","New York County, NY","Securities/Futures","Account Takeover","SEC","Customer","Other","Other","1"
"2014","January","New York","New York County, NY","Securities/Futures","Credit/Debit Card","SEC","No Relationship to Institution","Debit Card","Other","1"
"2014","January","New York","New York County, NY","Securities/Futures","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","SEC","Customer","Other","Other","1"
"2014","January","New York","New York County, NY","Securities/Futures","Other Fraud (Type)","SEC","Customer","Other","Other","1"
"2014","January","New York","New York County, NY","Securities/Futures","Other Other Suspicious Activities","SEC","Customer","Other","Other","1"
"2014","January","New York","New York County, NY","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","SEC","Customer","Other","Other","1"
"2014","January","New York","New York County, NY","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","SEC","No Relationship to Institution","Debit Card","Other","1"
"2014","January","South Carolina","Richland County, SC","Securities/Futures","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","SEC","Other","Mutual Fund","Other","1"
"2014","January","South Carolina","Richland County, SC","Securities/Futures","Suspicious Concerning the Source of Funds","SEC","Other","Mutual Fund","Other","1"
"2014","January","South Carolina","Richland County, SC","Securities/Futures","Suspicious Use of Noncash Monetary Instruments","SEC","Other","Mutual Fund","Other","1"
"2014","February","California","San Bernardino County, CA","Securities/Futures","Insider Trading","SEC","Customer","Stocks","Other","1"
"2014","February","California","San Bernardino County, CA","Securities/Futures","Market Manipulation/Wash Trading","SEC","Customer","Stocks","Other","1"
"2014","February","California","San Francisco County, CA","Securities/Futures","Account Takeover","FRB","No Relationship to Institution","Stocks","Other","2"
"2014","February","California","San Francisco County, CA","Securities/Futures","ACH","SEC","Customer","Stocks","Other","4"
"2014","February","California","San Francisco County, CA","Securities/Futures","Forgeries","FRB","No Relationship to Institution","Stocks","Other","2"
"2014","February","California","San Francisco County, CA","Securities/Futures","Identity Theft","FRB","No Relationship to Institution","Stocks","Other","2"
"2014","February","California","San Francisco County, CA","Securities/Futures","Other Other Suspicious Activities","FRB","No Relationship to Institution","Stocks","Other","2"
"2014","February","California","San Francisco County, CA","Securities/Futures","Suspicious Exchange of Currencies","SEC","Customer","Stocks","Other","4"
"2014","February","California","San Francisco County, CA","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","SEC","Customer","Stocks","Other","3"
"2014","February","California","San Francisco County, CA","Securities/Futures","Wire Transfer","FRB","No Relationship to Institution","Stocks","Other","2"
"2014","February","California","San Joaquin County, CA","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","SEC","Customer","Stocks","Other","1"
"2014","February","Missouri","St. Louis city, MO","Securities/Futures","Counterfeit Instrument (Other)","OCC","No Relationship to Institution","Other","Other","1"
"2014","February","Missouri","St. Louis city, MO","Securities/Futures","Credit/Debit Card","OCC","No Relationship to Institution","Other","Other","1"
"2014","February","Missouri","St. Louis city, MO","Securities/Futures","Other Fraud (Type)","OCC","No Relationship to Institution","Other","Other","1"
"2014","February","Nebraska","Douglas County, NE","Securities/Futures","ACH","SEC","Customer","Bonds/Notes","Other","1"
"2014","February","Nebraska","Douglas County, NE","Securities/Futures","ACH","SEC","Customer","Stocks","Other","2"
"2014","February","Nebraska","Douglas County, NE","Securities/Futures","Other Fraud (Type)","SEC","Customer","Bonds/Notes","Other","1"
"2014","February","Nebraska","Douglas County, NE","Securities/Futures","Other Fraud (Type)","SEC","Customer","Stocks","Other","2"
"2014","February","Nebraska","Douglas County, NE","Securities/Futures","Suspicious Use of Multiple Accounts","SEC","Customer","Bonds/Notes","Other","1"
"2014","February","Nebraska","Douglas County, NE","Securities/Futures","Suspicious Use of Multiple Accounts","SEC","Customer","Stocks","Other","2"
"2014","February","New Jersey","Mercer County, NJ","Securities/Futures","Other Fraud (Type)","SEC","Customer","Other","Other","1"
"2014","February","New York","Bronx County, NY","Securities/Futures","Multiple Transactions Below Ctr Threshold","OCC","Customer","Other","Other","1"
"2014","February","New York","Bronx County, NY","Securities/Futures","Suspicious Concerning the Source of Funds","OCC","Customer","Other","Other","1"
"2014","February","New York","Bronx County, NY","Securities/Futures","Suspicious Use of Multiple Accounts","OCC","Customer","Other","Other","1"
"2014","February","New York","Bronx County, NY","Securities/Futures","Transaction Out of Pattern for Customer(s)","OCC","Customer","Other","Other","1"
"2014","February","New York","Dutchess County, NY","Securities/Futures","Multiple Transactions Below Ctr Threshold","OCC","Customer","Other","Other","1"
"2014","February","New York","Dutchess County, NY","Securities/Futures","Suspicious Concerning the Source of Funds","OCC","Customer","Other","Other","1"
"2014","February","New York","Dutchess County, NY","Securities/Futures","Suspicious Use of Multiple Accounts","OCC","Customer","Other","Other","1"
"2014","February","New York","Dutchess County, NY","Securities/Futures","Transaction Out of Pattern for Customer(s)","OCC","Customer","Other","Other","1"
"2014","February","New York","New York County, NY","Securities/Futures","Identity Theft","SEC","No Relationship to Institution","Other","Other","1"
"2014","February","New York","New York County, NY","Securities/Futures","Other Casinos","SEC","Director","Bonds/Notes","Other","1"
"2014","February","New York","New York County, NY","Securities/Futures","Other Fraud (Type)","SEC","Director","Bonds/Notes","Other","1"
"2014","February","New York","New York County, NY","Securities/Futures","Other Fraud (Type)","SEC","No Relationship to Institution","Other","Other","1"
"2014","February","New York","New York County, NY","Securities/Futures","Other Identification Documentation","SEC","Director","Bonds/Notes","Other","1"
"2014","February","New York","New York County, NY","Securities/Futures","Other Money Laundering","SEC","Director","Bonds/Notes","Other","1"
"2014","February","New York","New York County, NY","Securities/Futures","Other Mortgage Fraud","SEC","Director","Bonds/Notes","Other","1"
"2014","February","New York","New York County, NY","Securities/Futures","Other Other Suspicious Activities","SEC","Director","Bonds/Notes","Other","1"
"2014","February","New York","New York County, NY","Securities/Futures","Other Structuring","SEC","Director","Bonds/Notes","Other","1"
"2014","February","New York","New York County, NY","Securities/Futures","Other Terrorist","SEC","Director","Bonds/Notes","Other","1"
"2014","February","New York","Rockland County, NY","Securities/Futures","Multiple Transactions Below Ctr Threshold","OCC","Customer","Other","Other","1"
"2014","February","New York","Rockland County, NY","Securities/Futures","Suspicious Concerning the Source of Funds","OCC","Customer","Other","Other","1"
"2014","February","New York","Rockland County, NY","Securities/Futures","Suspicious Use of Multiple Accounts","OCC","Customer","Other","Other","1"
"2014","February","New York","Rockland County, NY","Securities/Futures","Transaction Out of Pattern for Customer(s)","OCC","Customer","Other","Other","1"
"2014","February","New York","Suffolk County, NY","Securities/Futures","Identity Theft","SEC","No Relationship to Institution","Other","Other","1"
"2014","February","New York","Suffolk County, NY","Securities/Futures","Other Fraud (Type)","SEC","No Relationship to Institution","Other","Other","1"
"2014","March","Connecticut","Hartford County, CT","Securities/Futures","Forgeries","SEC","Customer","Mutual Fund","Other","1"
"2014","March","Connecticut","Hartford County, CT","Securities/Futures","Other Fraud (Type)","SEC","Customer","Mutual Fund","Other","1"
"2014","March","Georgia","Fulton County, GA","Securities/Futures","Counterfeit Instrument (Other)","SEC","No Relationship to Institution","Bonds/Notes","Other","1"
"2014","March","Georgia","Fulton County, GA","Securities/Futures","Counterfeit Instrument (Other)","SEC","No Relationship to Institution","Stocks","Other","1"
"2014","March","Georgia","Fulton County, GA","Securities/Futures","Provided Questionable or False Documentation","SEC","No Relationship to Institution","Bonds/Notes","Other","1"
"2014","March","Georgia","Fulton County, GA","Securities/Futures","Provided Questionable or False Documentation","SEC","No Relationship to Institution","Stocks","Other","1"
"2014","March","Georgia","Fulton County, GA","Securities/Futures","Suspicious Concerning the Source of Funds","SEC","No Relationship to Institution","Bonds/Notes","Other","1"
"2014","March","Georgia","Fulton County, GA","Securities/Futures","Suspicious Concerning the Source of Funds","SEC","No Relationship to Institution","Stocks","Other","1"
"2014","March","Georgia","Fulton County, GA","Securities/Futures","Suspicious EFT/Wire Transfers","SEC","No Relationship to Institution","Bonds/Notes","Other","1"
"2014","March","Georgia","Fulton County, GA","Securities/Futures","Suspicious EFT/Wire Transfers","SEC","No Relationship to Institution","Stocks","Other","1"
"2014","March","Massachusetts","Middlesex County, MA","Securities/Futures","ACH","SEC","Customer","Other","Other","1"
"2014","March","Massachusetts","Middlesex County, MA","Securities/Futures","Identity Theft","SEC","Customer","Other","Other","1"
"2014","March","Massachusetts","Middlesex County, MA","Securities/Futures","Multiple Individuals with Same or Similar Identities","SEC","Customer","Other","Other","1"
