"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument"
"2014","January","Missouri","Clay County, MO","Casino/Card Club - State Licensed Casino","Other Other Suspicious Activities","IRS","Customer","Credit Card","Other"
"2014","January","Missouri","Clay County, MO","Casino/Card Club - State Licensed Casino","Provided Questionable or False Documentation","IRS","Customer","Credit Card","Other"
"2014","January","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","ACH","IRS","Customer","Credit Card","Other"
"2014","January","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","ACH","IRS","Customer","Debit Card","Other"
"2014","January","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Credit/Debit Card","IRS","Customer","Credit Card","Other"
"2014","January","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Credit/Debit Card","IRS","Customer","Debit Card","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","ACH","IRS","Customer","Prepaid Access","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Minimal Gaming with Large Transactions","IRS","Customer","Credit Card","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Minimal Gaming with Large Transactions","IRS","Customer","Debit Card","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Minimal Gaming with Large Transactions","IRS","Customer","Prepaid Access","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Multiple Transactions Below Bsa Recordkeeping Threshold","IRS","Customer","Credit Card","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Multiple Transactions Below Bsa Recordkeeping Threshold","IRS","Customer","Debit Card","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Multiple Transactions Below Ctr Threshold","IRS","Customer","Prepaid Access","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Other Casinos","IRS","Customer","Credit Card","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Other Casinos","IRS","Customer","Debit Card","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Other Casinos","IRS","Customer","Prepaid Access","Other"
"2014","March","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Suspicious Concerning the Source of Funds","IRS","Customer","Prepaid Access","Other"
"2014","April","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Credit/Debit Card","IRS","Customer","Credit Card","Other"
"2014","April","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Credit/Debit Card","IRS","Customer","Debit Card","Other"
"2014","April","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Minimal Gaming with Large Transactions","IRS","Customer","Credit Card","Other"
"2014","April","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Minimal Gaming with Large Transactions","IRS","Customer","Debit Card","Other"
"2014","April","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Other Casinos","IRS","Customer","Credit Card","Other"
"2014","April","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Other Casinos","IRS","Customer","Debit Card","Other"
"2014","April","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Two or More Individuals Working Together","IRS","Customer","Credit Card","Other"
"2014","April","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Two or More Individuals Working Together","IRS","Customer","Debit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Account Takeover","IRS","Customer","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Account Takeover","IRS","Customer","Debit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Account Takeover","IRS","No Relationship to Institution","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Check","IRS","Customer","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Check","IRS","No Relationship to Institution","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","IRS","Customer","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","IRS","Customer","Debit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","IRS","No Relationship to Institution","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Elder Financial Exploitation","IRS","Customer","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Elder Financial Exploitation","IRS","No Relationship to Institution","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Embezzlement/Theft/Disappearance of Funds","IRS","Customer","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Embezzlement/Theft/Disappearance of Funds","IRS","No Relationship to Institution","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Identity Theft","IRS","Customer","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Identity Theft","IRS","Customer","Debit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Identity Theft","IRS","Customer","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Identity Theft","IRS","No Relationship to Institution","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Identity Theft","IRS","No Relationship to Institution","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Minimal Gaming with Large Transactions","IRS","Customer","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Minimal Gaming with Large Transactions","IRS","Customer","Debit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Minimal Gaming with Large Transactions","IRS","Customer","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Minimal Gaming with Large Transactions","IRS","No Relationship to Institution","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","IRS","Customer","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","IRS","Customer","Debit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","IRS","Customer","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","IRS","No Relationship to Institution","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","IRS","No Relationship to Institution","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Other Structuring","IRS","Customer","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Other Structuring","IRS","Customer","Debit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","Customer","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","Customer","Debit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","Customer","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","No Relationship to Institution","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","No Relationship to Institution","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Two or More Individuals Working Together","IRS","Customer","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Two or More Individuals Working Together","IRS","Customer","Debit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Two or More Individuals Working Together","IRS","Customer","Other","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Two or More Individuals Working Together","IRS","No Relationship to Institution","Credit Card","Other"
"2014","May","California","Placer County, CA","Casino/Card Club - Tribal Authorized Casino","Two or More Individuals Working Together","IRS","No Relationship to Institution","Other","Other"
"2014","May","Nevada","Clark County, NV","Casino/Card Club - State Licensed Casino","Credit/Debit Card","IRS","Customer","Credit Card","Other"
"2014","May","Nevada","Clark County, NV","Casino/Card Club - State Licensed Casino","Forgeries","IRS","Customer","Credit Card","Other"
"2014","May","Nevada","Clark County, NV","Casino/Card Club - State Licensed Casino","Provided Questionable or False Documentation","IRS","Customer","Credit Card","Other"
"2014","May","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Credit/Debit Card","IRS","Customer","Credit Card","Other"
"2014","May","New Jersey","Atlantic County, NJ","Casino/Card Club - State Licensed Casino","Credit/Debit Card","IRS","Customer","Debit Card","Other"
"2014","May","West Virginia","Jefferson County, WV","Casino/Card Club - State Licensed Casino","Minimal Gaming with Large Transactions","IRS","Customer","Credit Card","Other"
"2014","May","West Virginia","Jefferson County, WV","Casino/Card Club - State Licensed Casino","Multiple Transactions Below Bsa Recordkeeping Threshold","IRS","Customer","Credit Card","Other"
"2014","June","California","Contra Costa County, CA","Casino/Card Club - Card Club","Other Casinos","IRS","Other","Other","Other"
"2014","June","California","Contra Costa County, CA","Casino/Card Club - Card Club","Other Other Suspicious Activities","IRS","Other","Other","Other"
"2014","June","Nevada","Clark County, NV","Casino/Card Club - State Licensed Casino","Counterfeit Instrument (Other)","IRS","Customer","Credit Card","Other"
"2014","June","Nevada","Clark County, NV","Casino/Card Club - State Licensed Casino","Credit/Debit Card","IRS","Customer","Credit Card","Other"
"2014","June","Nevada","Clark County, NV","Casino/Card Club - State Licensed Casino","Forgeries","IRS","Customer","Credit Card","Other"
"2014","June","Nevada","Clark County, NV","Casino/Card Club - State Licensed Casino","Identity Theft","IRS","Customer","Credit Card","Other"
