"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument"
"2014","January","New York","New York County, NY","Insurance Company","Suspicious EFT/Wire Transfers","IRS","Customer","Insurance/Annuity Products","Other"
"2014","February","Nevada","Nye County, NV","Insurance Company","Credit/Debit Card","IRS","Other","Insurance/Annuity Products","Other"
"2014","February","Nevada","Nye County, NV","Insurance Company","Elder Financial Exploitation","IRS","Other","Insurance/Annuity Products","Other"
"2014","February","New York","New York County, NY","Insurance Company","Suspicious EFT/Wire Transfers","IRS","Customer","Insurance/Annuity Products","Other"
"2014","March","Maryland","Prince George's County, MD","Insurance Company","Suspicious Concerning the Source of Funds","IRS","No Relationship to Institution","Other","Other"
"2014","March","Puerto Rico","San Juan Municipio, PR","Insurance Company","Transaction Out of Pattern for Customer(s)","IRS","Customer","Insurance/Annuity Products","Other"
"2014","April","California","Los Angeles County, CA","Insurance Company","Suspicious Concerning the Source of Funds","IRS","No Relationship to Institution","Other","Other"
"2014","April","Massachusetts","Suffolk County, MA","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2014","April","Massachusetts","Suffolk County, MA","Insurance Company","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2014","April","Massachusetts","Suffolk County, MA","Insurance Company","Other Insurance","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2014","April","Massachusetts","Suffolk County, MA","Insurance Company","Suspicious Concerning the Source of Funds","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2014","April","Massachusetts","Suffolk County, MA","Insurance Company","Suspicious EFT/Wire Transfers","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2014","April","Massachusetts","Suffolk County, MA","Insurance Company","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","No Relationship to Institution","Insurance/Annuity Products","Other"
"2014","April","Puerto Rico","San Juan Municipio, PR","Insurance Company","ACH","IRS","Customer","Insurance/Annuity Products","Other"
"2014","May","California","Los Angeles County, CA","Insurance Company","ACH","IRS","No Relationship to Institution","Other","Other"
"2014","May","California","Los Angeles County, CA","Insurance Company","Alters Transactions to Avoid Ctr Requirement","IRS","No Relationship to Institution","Other","Other"
"2014","May","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other"
"2014","May","New York","New York County, NY","Insurance Company","Suspicious EFT/Wire Transfers","IRS","Customer","Insurance/Annuity Products","Other"
