"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument"
"2012","September","California","Orange County, CA","Other","Other Fraud (Type)","Not Applicable","Borrower","Residential Mortgage","Other"
"2012","October","Ohio","Stark County, OH","Other","Other Fraud (Type)","Not Applicable","Customer","Residential Mortgage","Other"
"2012","October","Ohio","Stark County, OH","Other","Other Mortgage Fraud","Not Applicable","Customer","Residential Mortgage","Other"
"2012","October","Ohio","Stark County, OH","Other","Provided Questionable or False Documentation","Not Applicable","Customer","Residential Mortgage","Other"
"2012","November","California","San Bernardino County, CA","Other","Other Fraud (Type)","Not Applicable","Employee","Residential Mortgage","Other"
"2012","November","California","San Bernardino County, CA","Other","Other Fraud (Type)","Not Applicable","Other","Residential Mortgage","Other"
"2012","November","California","San Bernardino County, CA","Other","Other Mortgage Fraud","Not Applicable","Employee","Residential Mortgage","Other"
"2012","November","California","San Bernardino County, CA","Other","Other Mortgage Fraud","Not Applicable","Other","Residential Mortgage","Other"
"2012","November","California","San Bernardino County, CA","Other","Other Structuring","Not Applicable","Employee","Residential Mortgage","Other"
"2012","November","California","San Bernardino County, CA","Other","Other Structuring","Not Applicable","Other","Residential Mortgage","Other"
"2012","November","California","San Bernardino County, CA","Other","Provided Questionable or False Documentation","Not Applicable","Employee","Residential Mortgage","Other"
"2012","November","California","San Bernardino County, CA","Other","Provided Questionable or False Documentation","Not Applicable","Other","Residential Mortgage","Other"
"2012","December","Florida","Hillsborough County, FL","Other","Suspicious Concerning the Source of Funds","Not Applicable","Borrower","Residential Mortgage","Other"
"2012","December","Florida","Hillsborough County, FL","Other","Suspicious Use of Third-Party Transactors (Straw-Man)","Not Applicable","Borrower","Residential Mortgage","Other"
"2012","June","Colorado","Pueblo County, CO","Other","Check","NCUA","Customer","Debit Card","Other"
"2012","June","Colorado","Pueblo County, CO","Other","Credit/Debit Card","NCUA","Customer","Debit Card","Other"
"2012","June","Colorado","Pueblo County, CO","Other","Suspicious Use of Informal Value Transfer System","NCUA","Customer","Debit Card","Other"
"2012","July","Indiana","Marion County, IN","Other","Other Fraud (Type)","OCC","Customer","Residential Mortgage","Other"
"2012","July","Indiana","Marion County, IN","Other","Other Identification Documentation","OCC","Customer","Residential Mortgage","Other"
"2012","July","Indiana","Marion County, IN","Other","Other Money Laundering","OCC","Customer","Residential Mortgage","Other"
"2012","July","Indiana","Marion County, IN","Other","Other Mortgage Fraud","OCC","Customer","Residential Mortgage","Other"
"2012","July","Indiana","Marion County, IN","Other","Other Other Suspicious Activities","OCC","Customer","Residential Mortgage","Other"
"2012","July","Indiana","Marion County, IN","Other","Other Structuring","OCC","Customer","Residential Mortgage","Other"
"2012","July","Indiana","Marion County, IN","Other","Other Terrorist","OCC","Customer","Residential Mortgage","Other"
"2012","July","Indiana","Marion County, IN","Other","Two or More Individuals Working Together","OCC","Customer","Residential Mortgage","Other"
"2012","August","California","San Francisco County, CA","Other","Other Structuring","FRB","Customer","Options on Securities","Other"
"2012","August","California","San Francisco County, CA","Other","Other Structuring","FRB","Customer","Stocks","Other"
"2012","August","California","San Francisco County, CA","Other","Suspicious Concerning the Source of Funds","FRB","Customer","Options on Securities","Other"
"2012","August","California","San Francisco County, CA","Other","Suspicious Concerning the Source of Funds","FRB","Customer","Stocks","Other"
"2012","August","California","San Francisco County, CA","Other","Suspicious EFT/Wire Transfers","FRB","Customer","Options on Securities","Other"
"2012","August","California","San Francisco County, CA","Other","Suspicious EFT/Wire Transfers","FRB","Customer","Stocks","Other"
"2012","August","California","San Francisco County, CA","Other","Suspicious Use of Multiple Locations","FRB","Customer","Options on Securities","Other"
"2012","August","California","San Francisco County, CA","Other","Suspicious Use of Multiple Locations","FRB","Customer","Stocks","Other"
"2012","August","California","San Francisco County, CA","Other","Suspicious Use of Third-Party Transactors (Straw-Man)","FRB","Customer","Options on Securities","Other"
"2012","August","California","San Francisco County, CA","Other","Suspicious Use of Third-Party Transactors (Straw-Man)","FRB","Customer","Stocks","Other"
"2012","August","California","San Francisco County, CA","Other","Two or More Individuals Working Together","FRB","Customer","Options on Securities","Other"
"2012","August","California","San Francisco County, CA","Other","Two or More Individuals Working Together","FRB","Customer","Stocks","Other"
"2012","August","New Hampshire","Hillsborough County, NH","Other","Consumer Loan","IRS","Customer","Other","Other"
"2012","August","New Hampshire","Hillsborough County, NH","Other","Consumer Loan","IRS","Customer","Residential Mortgage","Other"
"2012","August","New Hampshire","Hillsborough County, NH","Other","Other Mortgage Fraud","IRS","Customer","Other","Other"
"2012","August","New Hampshire","Hillsborough County, NH","Other","Other Mortgage Fraud","IRS","Customer","Residential Mortgage","Other"
"2012","September","California","San Bernardino County, CA","Other","Refused or Avoided Request for Documentation","IRS","Customer","Residential Mortgage","Other"
"2012","September","California","San Bernardino County, CA","Other","Suspicious Concerning the Source of Funds","IRS","Customer","Residential Mortgage","Other"
"2012","September","California","San Francisco County, CA","Other","Other Fraud (Type)","FRB","Other","Other","Other"
"2012","September","New Hampshire","Hillsborough County, NH","Other","Consumer Loan","IRS","Customer","Other","Other"
"2012","September","New Hampshire","Hillsborough County, NH","Other","Consumer Loan","IRS","Customer","Residential Mortgage","Other"
"2012","September","New Hampshire","Hillsborough County, NH","Other","Other Mortgage Fraud","IRS","Customer","Other","Other"
"2012","September","New Hampshire","Hillsborough County, NH","Other","Other Mortgage Fraud","IRS","Customer","Residential Mortgage","Other"
"2012","September","Tennessee","Blount County, TN","Other","Loan Modification Fraud","IRS","No Relationship to Institution","Residential Mortgage","Other"
"2012","September","Tennessee","Blount County, TN","Other","Suspicious Concerning the Source of Funds","IRS","Borrower","Residential Mortgage","Other"
