"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument"
"2015","January","California","San Francisco County, CA","Securities/Futures","Transaction Out of Pattern for Customer(s)","FRB","Customer","Credit Card","Other"
"2015","January","California","San Francisco County, CA","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","FRB","Customer","Credit Card","Other"
"2015","January","Massachusetts","Middlesex County, MA","Securities/Futures","Identity Theft","SEC","Customer","Other","Other"
"2015","January","Massachusetts","Middlesex County, MA","Securities/Futures","Other Fraud (Type)","SEC","Customer","Other","Other"
"2015","January","Massachusetts","Middlesex County, MA","Securities/Futures","Other Other Suspicious Activities","SEC","Customer","Other","Other"
"2015","January","Missouri","St. Louis city, MO","Securities/Futures","Insider Trading","OCC","Customer","Options on Securities","Other"
"2015","January","Missouri","St. Louis city, MO","Securities/Futures","Insider Trading","OCC","Customer","Stocks","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","ACH","SEC","Customer","Bonds/Notes","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","ACH","SEC","Customer","Prepaid Access","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","ACH","SEC","Customer","Stocks","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","Identity Theft","SEC","Customer","Bonds/Notes","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","Other Fraud (Type)","SEC","Customer","Bonds/Notes","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","Other Fraud (Type)","SEC","Customer","Prepaid Access","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","Other Fraud (Type)","SEC","Customer","Stocks","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","Other Securities/Futures/Options","SEC","Customer","Stocks","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","Refused or Avoided Request for Documentation","SEC","Customer","Stocks","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","Wire Transfer","SEC","Customer","Bonds/Notes","Other"
"2015","January","Nebraska","Douglas County, NE","Securities/Futures","Wire Transfer","SEC","Customer","Stocks","Other"
"2015","January","New Jersey","Mercer County, NJ","Securities/Futures","Other Fraud (Type)","SEC","Employee","Other","Other"
"2015","January","New Jersey","Mercer County, NJ","Securities/Futures","Other Identification Documentation","SEC","Employee","Other","Other"
"2015","January","Pennsylvania","Chester County, PA","Securities/Futures","Identity Theft","SEC","No Relationship to Institution","Mutual Fund","Other"
"2015","January","Pennsylvania","Chester County, PA","Securities/Futures","Other Fraud (Type)","SEC","No Relationship to Institution","Mutual Fund","Other"
"2015","January","Washington","King County, WA","Securities/Futures","Account Takeover","SEC","No Relationship to Institution","Mutual Fund","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Check","SEC","Customer","Security Futures Products","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Check","SEC","Employee","Security Futures Products","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Elder Financial Exploitation","SEC","Customer","Security Futures Products","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Elder Financial Exploitation","SEC","Employee","Security Futures Products","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Embezzlement/Theft/Disappearance of Funds","SEC","Customer","Security Futures Products","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Embezzlement/Theft/Disappearance of Funds","SEC","Employee","Security Futures Products","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Insider Trading","OCC","Customer","Stocks","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","OCC","Customer","Stocks","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Misappropriation","SEC","Customer","Security Futures Products","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Misappropriation","SEC","Employee","Security Futures Products","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Suspicious EFT/Wire Transfers","OCC","Customer","Stocks","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Wire Transfer","SEC","Customer","Security Futures Products","Other"
"2015","February","Arizona","Maricopa County, AZ","Securities/Futures","Wire Transfer","SEC","Employee","Security Futures Products","Other"
"2015","February","California","Alameda County, CA","Securities/Futures","Multiple Transactions Below Ctr Threshold","OCC","Customer","Other","Other"
"2015","February","California","Alameda County, CA","Securities/Futures","Suspicious Concerning the Source of Funds","OCC","Customer","Other","Other"
"2015","February","California","Alameda County, CA","Securities/Futures","Suspicious Use of Multiple Locations","OCC","Customer","Other","Other"
"2015","February","California","Riverside County, CA","Securities/Futures","Multiple Transactions Below Ctr Threshold","OCC","Customer","Other","Other"
"2015","February","California","San Francisco County, CA","Securities/Futures","Insider Trading","FRB","Customer","Stocks","Other"
"2015","February","Florida","Broward County, FL","Securities/Futures","Multiple Transactions Below Ctr Threshold","OCC","Customer","Other","Other"
"2015","February","Florida","Miami-Dade County, FL","Securities/Futures","Multiple Transactions Below Ctr Threshold","OCC","Customer","Other","Other"
