Enforcement Action,Date,Matter No.,Industry Type
In the Matter of Kustandy Rayyan D/B/A Thriftway Food Mart,3/24/16,2016-02,Money Services Businesses
"In the Matter of Lee’s Snack Shop, Inc. and Hong Ki Yi",6/26/15,2015-09,Money Services Businesses
"In the Matter of King Mail & Wireless Inc., and Ali Al Duais",6/1/15,2015-06,Money Services Businesses
"In the Matter of Ripple Labs, Inc. XRP Fund II, LLC Attachment A: Statement of Facts and Violations Attachment B: Remedial Framework",5/5/15,2015-05,Money Services Businesses
In the Matter of Aurora Sunmart Inc. and Jamal Awad,3/18/15,2015-04,Money Services Businesses
In the Matter of Thomas E. Haider,12/18/14,2014-08,Money Services Businesses
"In the Matter of BPI, Inc.",8/28/14,2014-06,Money Services Businesses
"In the Matter of Mian, Inc. d/b/a Tower Package Store",7/15/14,2014-04,Money Services Businesses
"In the Matter of New Milenium Cash Exchange, Inc. and Flor Angella Lopez",4/23/14,2014-03,Money Services Businesses
In the Matter of Saleh H. Adam dba Adam Service,2/7/14,2014-02,Money Services Businesses
In the Matter of Sarith Meas,12/8/11,2011-10,Money Services Businesses
In the Matter of Mohamed Mohamed-Abas Sheikh,9/23/11,2011-9,Money Services Businesses
"In the Matter of Altima, Inc.",9/7/11,2011-8,Money Services Businesses
In the Matter of Victor Kaganov,3/11/11,2011-2,Money Services Businesses
In the Matter of Mohamed Abukar Sufi d/b/a Halal Depot,3/2/11,2011-04,Money Services Businesses
In the Matter of Omar Abukar Sufi d/b/a Halal Depot,3/2/11,2011-03,Money Services Businesses
"In the Matter of Baltic Financial Services, Inc.",12/16/10,2010-5,Money Services Businesses
